STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TOBS,TOBS_ATTRIBUTES
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/8/10,,,,,,,44,",,U",46,"H,,U",42,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/9/10,,,,,,,45,",,U",50,"H,,U",38,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/10/10,,,,,,,39,",,U",44,"H,,U",34,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/11/10,,,,,,,46,",,U",59,"H,,U",34,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/12/10,,,,,,,49,",,U",60,"H,,U",40,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/13/10,,,,,,,53,",,U",67,"H,,U",38,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/14/10,,,,,,,56,",,U",66,"H,,U",47,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/15/10,,,,,,,53,",,U",62,"H,,U",47,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/16/10,,,,,,,57,",,U",67,"H,,U",43,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/17/10,,,,,,,58,",,U",72,"H,,U",49,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/18/10,,,,,,,56,",,U",68,"H,,U",48,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/19/10,,,,,,,49,",,U",50,"H,,U",46,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/20/10,,,,,,,63,",,U",76,"H,,U",49,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/21/10,,,,,,,58,",,U",69,"H,,U",51,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/22/10,,,,,,,57,",,U",65,"H,,U",51,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/23/10,,,,,,,60,",,U",71,"H,,U",52,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/24/10,,,,,,,66,",,U",80,"H,,U",53,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/25/10,,,,,,,74,",,U",85,"H,,U",64,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/26/10,,,,,,,63,",,U",77,"H,,U",48,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/27/10,,,,,,,56,",,U",68,"H,,U",44,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/28/10,,,,,,,55,",,U",66,"H,,U",47,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/29/10,,,,,,,58,",,U",69,"H,,U",47,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/30/10,,,,,,,63,",,U",73,"H,,U",54,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,5/31/10,,,,,,,58,",,U",70,"H,,U",48,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,6/1/10,,,,,,,56,",,U",60,"H,,U",54,"H,,U",,
USR0000MMCF,"MCFARLAND HILL MAINE, ME US",44.3769,-68.2608,129.2,6/2/10,,,,,,,57,",,U",66,"H,,U",50,"H,,U",,
