Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),04: 3am (3am-4am),21,0.181,0.105,0.131,0.336,0.064,0.094,0.040,0.031,0.018,0.063,0.265,0.317,0.133,0.222,0.914,0.010,0.016,0.046,0.001,0.000,0.013,0.002,0.213,0.787,0.071,0.175,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),05: 4am (4am-5am),26,0.321,0.116,0.086,0.135,0.137,0.089,0.067,0.047,0.002,0.110,0.223,0.168,0.271,0.228,0.974,0.006,0.000,0.010,0.000,0.006,0.004,0.008,0.174,0.826,0.065,0.153,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),06: 5am (5am-6am),126,0.150,0.146,0.109,0.201,0.133,0.110,0.054,0.062,0.035,0.071,0.311,0.256,0.241,0.121,0.914,0.029,0.008,0.029,0.000,0.008,0.012,0.052,0.282,0.718,0.083,0.236,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),07: 6am (6am-7am),131,0.227,0.145,0.133,0.207,0.126,0.062,0.038,0.044,0.018,0.153,0.360,0.227,0.169,0.091,0.733,0.164,0.004,0.067,0.001,0.007,0.024,0.047,0.337,0.663,0.160,0.240,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),08: 7am (7am-8am),35,0.169,0.081,0.101,0.258,0.184,0.105,0.039,0.041,0.022,0.082,0.335,0.202,0.193,0.188,0.721,0.170,0.007,0.051,0.000,0.035,0.016,0.091,0.370,0.630,0.190,0.267,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),09: 8am (8am-9am),21,0.034,0.016,0.182,0.085,0.072,0.110,0.126,0.192,0.183,0.094,0.187,0.292,0.228,0.199,0.948,0.015,0.000,0.022,0.000,0.003,0.012,0.011,0.211,0.789,0.065,0.185,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),10: 9am (9am-10am),51,0.088,0.111,0.142,0.180,0.144,0.107,0.060,0.082,0.086,0.103,0.251,0.297,0.216,0.133,0.959,0.009,0.001,0.016,0.000,0.003,0.012,0.012,0.238,0.762,0.087,0.185,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),11: 10am (10am-11am),208,0.149,0.134,0.148,0.182,0.118,0.092,0.045,0.075,0.057,0.092,0.262,0.239,0.217,0.190,0.806,0.030,0.004,0.103,0.005,0.028,0.024,0.084,0.303,0.697,0.114,0.227,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),12: 11am (11am-12noon),359,0.102,0.146,0.094,0.191,0.149,0.097,0.078,0.065,0.078,0.061,0.313,0.252,0.234,0.140,0.929,0.021,0.001,0.029,0.001,0.008,0.011,0.045,0.328,0.672,0.127,0.268,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),13: 12pm (12noon-1pm),230,0.130,0.102,0.123,0.215,0.148,0.096,0.055,0.055,0.076,0.115,0.274,0.268,0.202,0.141,0.829,0.072,0.006,0.040,0.000,0.035,0.018,0.068,0.302,0.698,0.130,0.241,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),14: 1pm (1pm-2pm),248,0.134,0.129,0.119,0.194,0.135,0.096,0.066,0.068,0.059,0.073,0.222,0.249,0.257,0.199,0.847,0.045,0.003,0.070,0.000,0.014,0.021,0.058,0.270,0.730,0.121,0.199,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),15: 2pm (2pm-3pm),238,0.116,0.121,0.127,0.162,0.120,0.106,0.070,0.068,0.110,0.079,0.243,0.252,0.262,0.164,0.910,0.018,0.004,0.024,0.000,0.026,0.018,0.107,0.319,0.681,0.129,0.245,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),16: 3pm (3pm-4pm),188,0.161,0.209,0.111,0.155,0.116,0.094,0.075,0.042,0.037,0.077,0.334,0.299,0.187,0.103,0.935,0.009,0.001,0.032,0.000,0.010,0.013,0.062,0.299,0.701,0.112,0.233,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),17: 4pm (4pm-5pm),179,0.145,0.136,0.108,0.189,0.147,0.156,0.039,0.049,0.031,0.091,0.287,0.245,0.237,0.140,0.826,0.031,0.003,0.087,0.000,0.029,0.024,0.065,0.352,0.648,0.133,0.276,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),18: 5pm (5pm-6pm),159,0.162,0.130,0.159,0.174,0.149,0.086,0.064,0.031,0.045,0.074,0.335,0.248,0.233,0.110,0.922,0.008,0.001,0.049,0.000,0.009,0.011,0.025,0.298,0.702,0.112,0.230,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),19: 6pm (6pm-7pm),56,0.167,0.148,0.120,0.175,0.121,0.096,0.061,0.066,0.046,0.173,0.270,0.211,0.200,0.146,0.753,0.010,0.005,0.175,0.000,0.036,0.021,0.075,0.316,0.684,0.159,0.212,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),20: 7pm (7pm-8pm),67,0.146,0.104,0.121,0.178,0.128,0.094,0.101,0.085,0.043,0.121,0.349,0.238,0.180,0.112,0.908,0.013,0.011,0.053,0.001,0.002,0.012,0.023,0.364,0.636,0.148,0.240,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),21: 8pm (8pm-9pm),20,0.310,0.114,0.130,0.226,0.133,0.039,0.019,0.023,0.006,0.147,0.409,0.225,0.151,0.068,0.841,0.061,0.001,0.042,0.000,0.029,0.026,0.065,0.164,0.836,0.084,0.107,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),22: 9pm (9pm-10pm),35,0.068,0.100,0.108,0.143,0.185,0.154,0.108,0.069,0.065,0.107,0.247,0.190,0.269,0.187,0.839,0.025,0.000,0.095,0.000,0.030,0.011,0.155,0.291,0.709,0.046,0.261,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),00: All Day (12am-12am),2048,0.139,0.128,0.121,0.180,0.135,0.097,0.063,0.065,0.072,0.095,0.274,0.251,0.221,0.159,0.856,0.039,0.004,0.058,0.000,0.022,0.021,0.071,0.319,0.681,0.128,0.248,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),04: 3am (3am-4am),2,0.153,0.205,0.054,0.191,0.050,0.125,0.048,0.041,0.133,0.044,0.279,0.150,0.216,0.311,0.877,0.034,0.000,0.043,0.000,0.022,0.024,0.048,0.142,0.858,0.044,0.123,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),05: 4am (4am-5am),73,0.110,0.105,0.100,0.155,0.130,0.100,0.085,0.080,0.135,0.065,0.213,0.230,0.271,0.221,0.837,0.041,0.002,0.088,0.000,0.013,0.019,0.056,0.361,0.639,0.133,0.283,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),06: 5am (5am-6am),207,0.144,0.119,0.104,0.172,0.128,0.103,0.073,0.073,0.084,0.102,0.268,0.237,0.229,0.164,0.846,0.036,0.003,0.065,0.000,0.031,0.019,0.096,0.338,0.662,0.131,0.268,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),07: 6am (6am-7am),87,0.123,0.136,0.110,0.197,0.147,0.105,0.065,0.056,0.061,0.074,0.255,0.244,0.242,0.185,0.838,0.061,0.003,0.051,0.000,0.022,0.025,0.072,0.300,0.700,0.138,0.217,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),08: 7am (7am-8am),20,0.101,0.119,0.127,0.183,0.138,0.125,0.058,0.086,0.063,0.067,0.198,0.222,0.277,0.236,0.809,0.066,0.004,0.087,0.000,0.016,0.018,0.069,0.253,0.747,0.100,0.197,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),09: 8am (8am-9am),18,0.127,0.114,0.122,0.203,0.145,0.088,0.085,0.064,0.052,0.095,0.308,0.262,0.195,0.140,0.946,0.009,0.001,0.026,0.000,0.008,0.010,0.046,0.312,0.688,0.109,0.249,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),10: 9am (9am-10am),56,0.149,0.118,0.134,0.182,0.131,0.117,0.060,0.064,0.045,0.086,0.301,0.271,0.214,0.128,0.956,0.011,0.002,0.011,0.000,0.005,0.015,0.034,0.280,0.720,0.107,0.229,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),11: 10am (10am-11am),126,0.169,0.130,0.122,0.177,0.121,0.089,0.062,0.059,0.071,0.116,0.263,0.239,0.220,0.162,0.809,0.043,0.004,0.087,0.000,0.031,0.026,0.104,0.318,0.682,0.138,0.235,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),12: 11am (11am-12noon),196,0.133,0.128,0.127,0.180,0.141,0.095,0.065,0.066,0.065,0.109,0.275,0.256,0.210,0.150,0.863,0.037,0.004,0.047,0.001,0.026,0.022,0.072,0.315,0.685,0.124,0.246,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),13: 12pm (12noon-1pm),232,0.128,0.125,0.123,0.171,0.141,0.103,0.061,0.071,0.077,0.081,0.272,0.253,0.227,0.167,0.892,0.028,0.003,0.045,0.000,0.014,0.018,0.056,0.332,0.668,0.126,0.267,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),14: 1pm (1pm-2pm),183,0.135,0.135,0.120,0.191,0.137,0.102,0.061,0.068,0.051,0.098,0.291,0.254,0.222,0.135,0.853,0.055,0.007,0.044,0.000,0.018,0.023,0.057,0.316,0.684,0.130,0.245,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),15: 2pm (2pm-3pm),202,0.144,0.128,0.130,0.191,0.132,0.090,0.053,0.063,0.069,0.104,0.274,0.244,0.225,0.153,0.836,0.053,0.003,0.059,0.000,0.028,0.021,0.081,0.306,0.694,0.125,0.238,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),16: 3pm (3pm-4pm),159,0.152,0.147,0.128,0.176,0.127,0.093,0.056,0.051,0.070,0.095,0.294,0.268,0.197,0.146,0.873,0.041,0.003,0.041,0.001,0.023,0.018,0.069,0.304,0.696,0.120,0.234,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),17: 4pm (4pm-5pm),148,0.128,0.130,0.129,0.204,0.136,0.098,0.059,0.052,0.064,0.084,0.286,0.273,0.209,0.148,0.895,0.025,0.002,0.044,0.000,0.015,0.019,0.049,0.308,0.692,0.121,0.244,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),18: 5pm (5pm-6pm),123,0.140,0.129,0.120,0.177,0.145,0.098,0.055,0.055,0.081,0.077,0.262,0.260,0.233,0.168,0.897,0.017,0.004,0.048,0.001,0.014,0.019,0.054,0.326,0.674,0.136,0.247,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),19: 6pm (6pm-7pm),83,0.153,0.122,0.133,0.173,0.128,0.084,0.052,0.071,0.084,0.088,0.276,0.240,0.219,0.177,0.792,0.046,0.003,0.110,0.000,0.030,0.019,0.101,0.290,0.710,0.126,0.211,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),20: 7pm (7pm-8pm),64,0.137,0.149,0.121,0.174,0.138,0.100,0.066,0.062,0.053,0.122,0.303,0.249,0.199,0.127,0.810,0.042,0.004,0.101,0.000,0.024,0.019,0.068,0.340,0.660,0.152,0.252,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),21: 8pm (8pm-9pm),42,0.160,0.123,0.122,0.170,0.145,0.069,0.069,0.074,0.068,0.132,0.304,0.246,0.197,0.121,0.761,0.055,0.007,0.086,0.001,0.053,0.037,0.106,0.366,0.634,0.138,0.299,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),22: 9pm (9pm-10pm),19,0.132,0.121,0.100,0.165,0.150,0.125,0.066,0.066,0.075,0.083,0.233,0.266,0.218,0.200,0.875,0.028,0.003,0.058,0.000,0.012,0.024,0.043,0.310,0.690,0.150,0.230,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),23: 10pm (10pm-11pm),2,0.063,0.105,0.059,0.105,0.087,0.082,0.150,0.127,0.222,0.026,0.135,0.199,0.307,0.333,0.862,0.037,0.000,0.099,0.000,0.000,0.002,0.001,0.463,0.537,0.092,0.436,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,0: All Days (M-Su),24: 11pm (11pm-12am),6,0.089,0.113,0.078,0.170,0.133,0.150,0.092,0.100,0.075,0.084,0.244,0.204,0.199,0.269,0.849,0.018,0.012,0.061,0.000,0.035,0.025,0.054,0.288,0.712,0.108,0.218,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),00: All Day (12am-12am),2139,0.136,0.130,0.131,0.175,0.131,0.100,0.061,0.065,0.071,0.095,0.291,0.251,0.215,0.148,0.858,0.038,0.004,0.055,0.000,0.025,0.020,0.069,0.321,0.679,0.127,0.247,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),05: 4am (4am-5am),11,0.159,0.052,0.113,0.095,0.148,0.176,0.083,0.125,0.049,0.140,0.287,0.332,0.163,0.078,0.912,0.006,0.000,0.065,0.000,0.004,0.013,0.016,0.469,0.531,0.082,0.396,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),06: 5am (5am-6am),171,0.107,0.138,0.099,0.200,0.135,0.102,0.077,0.073,0.069,0.059,0.267,0.225,0.275,0.174,0.857,0.023,0.002,0.089,0.002,0.010,0.017,0.038,0.315,0.685,0.138,0.247,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),07: 6am (6am-7am),120,0.106,0.163,0.121,0.206,0.136,0.103,0.084,0.054,0.027,0.058,0.312,0.266,0.246,0.118,0.871,0.018,0.004,0.057,0.000,0.024,0.026,0.054,0.359,0.641,0.167,0.250,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),08: 7am (7am-8am),20,0.062,0.120,0.056,0.176,0.150,0.205,0.081,0.121,0.029,0.061,0.262,0.245,0.251,0.181,0.851,0.045,0.010,0.054,0.000,0.017,0.023,0.135,0.310,0.690,0.137,0.217,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),09: 8am (8am-9am),40,0.090,0.080,0.135,0.186,0.147,0.111,0.112,0.060,0.079,0.064,0.218,0.239,0.282,0.197,0.959,0.006,0.001,0.021,0.000,0.005,0.008,0.019,0.352,0.648,0.133,0.269,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),10: 9am (9am-10am),20,0.028,0.146,0.090,0.215,0.131,0.216,0.121,0.053,0.000,0.058,0.310,0.259,0.261,0.112,0.985,0.004,0.000,0.009,0.000,0.000,0.002,0.017,0.243,0.757,0.090,0.193,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),11: 10am (10am-11am),121,0.082,0.094,0.125,0.181,0.135,0.110,0.087,0.095,0.091,0.070,0.318,0.247,0.240,0.125,0.791,0.012,0.000,0.167,0.000,0.004,0.026,0.031,0.442,0.558,0.170,0.338,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),12: 11am (11am-12noon),265,0.193,0.140,0.146,0.211,0.122,0.078,0.049,0.022,0.039,0.182,0.327,0.244,0.167,0.080,0.864,0.027,0.004,0.026,0.000,0.049,0.030,0.130,0.288,0.712,0.110,0.227,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),13: 12pm (12noon-1pm),303,0.141,0.143,0.163,0.136,0.133,0.099,0.044,0.073,0.068,0.089,0.277,0.236,0.240,0.158,0.872,0.039,0.003,0.046,0.000,0.020,0.020,0.051,0.305,0.695,0.119,0.232,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),14: 1pm (1pm-2pm),124,0.137,0.161,0.139,0.202,0.151,0.088,0.032,0.054,0.036,0.141,0.329,0.270,0.173,0.087,0.864,0.063,0.001,0.016,0.000,0.041,0.015,0.079,0.356,0.644,0.151,0.283,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),15: 2pm (2pm-3pm),273,0.141,0.109,0.121,0.171,0.140,0.101,0.057,0.073,0.087,0.098,0.275,0.254,0.200,0.173,0.782,0.048,0.004,0.104,0.000,0.037,0.025,0.097,0.319,0.681,0.130,0.234,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),16: 3pm (3pm-4pm),216,0.145,0.152,0.121,0.189,0.141,0.098,0.047,0.057,0.050,0.094,0.337,0.284,0.171,0.114,0.847,0.101,0.006,0.012,0.000,0.014,0.020,0.048,0.308,0.692,0.129,0.237,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),17: 4pm (4pm-5pm),96,0.108,0.075,0.095,0.154,0.132,0.123,0.108,0.078,0.127,0.055,0.231,0.249,0.268,0.197,0.910,0.011,0.002,0.051,0.000,0.013,0.013,0.037,0.420,0.580,0.155,0.334,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),18: 5pm (5pm-6pm),102,0.119,0.105,0.119,0.210,0.132,0.100,0.075,0.050,0.090,0.072,0.260,0.285,0.220,0.163,0.962,0.003,0.004,0.009,0.000,0.010,0.012,0.107,0.277,0.723,0.100,0.221,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),19: 6pm (6pm-7pm),129,0.156,0.140,0.179,0.141,0.092,0.080,0.042,0.063,0.107,0.056,0.315,0.248,0.193,0.188,0.864,0.028,0.004,0.064,0.000,0.023,0.017,0.055,0.268,0.732,0.116,0.199,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),20: 7pm (7pm-8pm),30,0.063,0.065,0.076,0.071,0.106,0.181,0.117,0.131,0.190,0.013,0.138,0.201,0.326,0.322,0.904,0.022,0.000,0.072,0.000,0.000,0.002,0.005,0.375,0.625,0.118,0.306,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),21: 8pm (8pm-9pm),54,0.138,0.117,0.098,0.126,0.121,0.094,0.103,0.089,0.114,0.072,0.239,0.244,0.267,0.178,0.882,0.032,0.002,0.059,0.000,0.015,0.010,0.071,0.330,0.670,0.095,0.282,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),24: 11pm (11pm-12am),45,0.089,0.113,0.078,0.170,0.133,0.150,0.092,0.100,0.075,0.084,0.244,0.204,0.199,0.269,0.849,0.018,0.012,0.061,0.000,0.035,0.025,0.054,0.288,0.712,0.108,0.218,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),00: All Day (12am-12am),1711,0.128,0.123,0.108,0.184,0.133,0.105,0.066,0.072,0.081,0.112,0.267,0.234,0.221,0.166,0.827,0.035,0.005,0.082,0.000,0.028,0.023,0.088,0.327,0.673,0.134,0.251,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),05: 4am (4am-5am),73,0.092,0.144,0.096,0.179,0.119,0.089,0.090,0.062,0.129,0.058,0.205,0.249,0.299,0.189,0.936,0.017,0.001,0.035,0.000,0.003,0.008,0.024,0.351,0.649,0.154,0.248,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),06: 5am (5am-6am),136,0.120,0.106,0.059,0.207,0.142,0.093,0.075,0.090,0.108,0.100,0.259,0.218,0.239,0.184,0.823,0.033,0.004,0.051,0.000,0.060,0.029,0.221,0.327,0.673,0.145,0.251,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),07: 6am (6am-7am),21,0.236,0.147,0.137,0.212,0.076,0.071,0.048,0.011,0.062,0.152,0.225,0.232,0.195,0.196,0.818,0.086,0.002,0.013,0.000,0.041,0.040,0.153,0.181,0.819,0.082,0.142,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),08: 7am (7am-8am),40,0.176,0.171,0.101,0.142,0.048,0.090,0.085,0.130,0.057,0.119,0.188,0.263,0.213,0.217,0.723,0.017,0.002,0.232,0.000,0.013,0.013,0.068,0.186,0.814,0.082,0.139,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),10: 9am (9am-10am),35,0.232,0.177,0.150,0.179,0.081,0.073,0.041,0.043,0.024,0.118,0.306,0.298,0.164,0.114,0.947,0.031,0.006,0.004,0.001,0.001,0.010,0.120,0.283,0.717,0.099,0.252,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),11: 10am (10am-11am),80,0.164,0.131,0.100,0.126,0.164,0.095,0.085,0.045,0.090,0.194,0.262,0.224,0.174,0.146,0.735,0.025,0.004,0.094,0.001,0.100,0.041,0.248,0.373,0.627,0.179,0.280,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),12: 11am (11am-12noon),171,0.130,0.142,0.121,0.159,0.148,0.116,0.052,0.065,0.067,0.152,0.249,0.235,0.221,0.143,0.776,0.045,0.004,0.107,0.000,0.044,0.024,0.100,0.334,0.666,0.146,0.244,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Destination,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,2: Tuesday (Tu-Tu),13: 12pm (12noon-1pm),309,0.134,0.123,0.122,0.158,0.141,0.110,0.075,0.074,0.063,0.093,0.315,0.243,0.197,0.152,0.857,0.025,0.006,0.074,0.001,0.018,0.019,0.058,0.324,0.676,0.121,0.255,0.000,0.000,1.000
