Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),06: 5am (5am-6am),35,0.078,0.042,0.068,0.207,0.155,0.138,0.064,0.103,0.145,0.045,0.188,0.195,0.297,0.275,0.771,0.053,0.004,0.154,0.000,0.003,0.015,0.038,0.236,0.764,0.122,0.137,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),07: 6am (6am-7am),136,0.108,0.171,0.125,0.180,0.118,0.120,0.069,0.074,0.035,0.070,0.317,0.229,0.237,0.147,0.885,0.022,0.004,0.050,0.000,0.018,0.021,0.056,0.355,0.645,0.163,0.249,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),09: 8am (8am-9am),90,0.135,0.146,0.137,0.201,0.114,0.099,0.079,0.048,0.041,0.076,0.304,0.225,0.243,0.152,0.893,0.012,0.003,0.050,0.000,0.031,0.011,0.060,0.278,0.722,0.103,0.221,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),10: 9am (9am-10am),35,0.086,0.084,0.101,0.191,0.098,0.109,0.075,0.114,0.142,0.073,0.235,0.204,0.308,0.180,0.593,0.016,0.000,0.355,0.000,0.001,0.035,0.018,0.368,0.632,0.163,0.259,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),11: 10am (10am-11am),97,0.133,0.080,0.110,0.186,0.131,0.106,0.084,0.085,0.085,0.072,0.302,0.241,0.243,0.142,0.883,0.012,0.000,0.083,0.000,0.005,0.017,0.023,0.418,0.582,0.116,0.357,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),12: 11am (11am-12noon),275,0.178,0.137,0.162,0.202,0.125,0.080,0.049,0.035,0.032,0.133,0.333,0.267,0.194,0.073,0.895,0.023,0.004,0.020,0.001,0.037,0.020,0.071,0.224,0.776,0.095,0.164,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),13: 12pm (12noon-1pm),204,0.122,0.124,0.136,0.170,0.131,0.099,0.049,0.085,0.084,0.099,0.299,0.234,0.230,0.138,0.881,0.020,0.001,0.070,0.000,0.010,0.018,0.042,0.348,0.652,0.144,0.261,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),14: 1pm (1pm-2pm),132,0.153,0.172,0.152,0.195,0.136,0.085,0.026,0.045,0.036,0.145,0.357,0.271,0.138,0.089,0.846,0.070,0.002,0.029,0.000,0.040,0.013,0.080,0.338,0.662,0.150,0.266,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),15: 2pm (2pm-3pm),287,0.192,0.132,0.139,0.156,0.133,0.084,0.047,0.058,0.059,0.134,0.291,0.278,0.166,0.131,0.790,0.105,0.007,0.033,0.002,0.043,0.020,0.096,0.308,0.692,0.132,0.234,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,Origin,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),16: 3pm (3pm-4pm),123,0.176,0.147,0.114,0.162,0.104,0.106,0.057,0.070,0.064,0.090,0.349,0.249,0.196,0.116,0.866,0.011,0.008,0.084,0.000,0.011,0.020,0.030,0.342,0.658,0.150,0.259,0.000,0.000,1.000
