Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),08: 7am (7am-8am),125,2626,2696,15.2,15.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),09: 8am (8am-9am),206,2748,2769,16.6,16.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),10: 9am (9am-10am),322,2886,2916,18.2,18.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),11: 10am (10am-11am),343,2656,2757,13.4,13.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),12: 11am (11am-12noon),316,2854,2890,16.0,15.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),13: 12pm (12noon-1pm),316,3017,2953,21.2,20.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),14: 1pm (1pm-2pm),302,2155,2255,9.4,10.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),15: 2pm (2pm-3pm),311,2478,2552,13.9,14.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),16: 3pm (3pm-4pm),262,2367,2575,12.0,12.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),17: 4pm (4pm-5pm),214,2196,2343,9.2,10.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),18: 5pm (5pm-6pm),183,2399,2563,14.3,15.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),19: 6pm (6pm-7pm),168,2338,2595,11.0,12.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),20: 7pm (7pm-8pm),100,2058,2167,9.2,9.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),21: 8pm (8pm-9pm),12,1732,2765,8.7,14.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),22: 9pm (9pm-10pm),14,1471,1471,9.4,9.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),00: All Day (12am-12am),3870,2409,2463,13.3,13.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),02: 1am (1am-2am),4,1275,1275,10.0,10.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),04: 3am (3am-4am),77,1885,1885,10.6,10.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),05: 4am (4am-5am),203,2030,2030,13.9,13.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),06: 5am (5am-6am),96,2305,2255,14.0,13.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),07: 6am (6am-7am),104,2223,2200,12.2,12.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),08: 7am (7am-8am),159,2441,2430,15.3,15.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),09: 8am (8am-9am),224,2839,2859,18.2,18.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),10: 9am (9am-10am),322,2395,2469,11.6,12.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),11: 10am (10am-11am),337,2638,2635,14.7,14.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),12: 11am (11am-12noon),317,2802,2785,17.5,17.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),13: 12pm (12noon-1pm),332,2873,2965,17.1,17.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),14: 1pm (1pm-2pm),312,2210,2252,9.6,9.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),15: 2pm (2pm-3pm),354,2194,2304,9.7,10.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),16: 3pm (3pm-4pm),274,2345,2533,12.4,12.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),17: 4pm (4pm-5pm),257,2058,2174,8.8,9.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),18: 5pm (5pm-6pm),163,2443,2473,15.7,15.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),19: 6pm (6pm-7pm),144,2335,2421,13.7,14.2
