Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-5 min (percent),Travel Time 5-10 min (percent),Travel Time 10-15 min (percent),Travel Time 15-20 min (percent),Travel Time 20-25 min (percent),Travel Time 25-30 min (percent),Travel Time 30-35 min (percent),Travel Time 35-40 min (percent),Travel Time 40-45 min (percent),Travel Time 45-50 min (percent),Travel Time 50-55 min (percent),Travel Time 55-60 min (percent),Travel Time 60+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-3 mi (percent),Trip Length 3-4 mi (percent),Trip Length 4-5 mi (percent),Trip Length 5+ mi (percent),Trip Speed 0-1 mph (percent),Trip Speed 1-2 mph (percent),Trip Speed 2-3 mph (percent),Trip Speed 3-4 mph (percent),Trip Speed 4-5 mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),00: All Day (12am-12am),1789,1908,1908,0.7,0.7,1,1,4.556,0.074,0.074,0.114,0.144,0.158,0.094,0.030,0.059,0.054,0.040,0.015,0.020,0.124,0.821,0.114,0.045,0.015,0.000,0.005,0.381,0.446,0.099,0.045,0.015,0.584,0.173,0.069,0.045,0.035,0.094
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),05: 4am (4am-5am),17,720,720,0.3,0.3,2,2,2.564,0.500,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.500,0.000,0.500,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),06: 5am (5am-6am),70,1895,1895,0.5,0.5,1,1,1.375,0.125,0.125,0.250,0.000,0.125,0.000,0.000,0.000,0.125,0.000,0.000,0.000,0.250,0.750,0.250,0.000,0.000,0.000,0.000,0.375,0.500,0.125,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),07: 6am (6am-7am),27,510,510,0.2,0.2,2,2,2.011,0.334,0.333,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.667,0.000,0.000,0.667,0.000,0.333,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),08: 7am (7am-8am),8,1213,1213,0.2,0.2,1,1,1.213,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),09: 8am (8am-9am),34,1851,1851,0.6,0.6,1,1,3.552,0.000,0.000,0.250,0.250,0.000,0.000,0.000,0.000,0.250,0.250,0.000,0.000,0.000,0.750,0.250,0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.750,0.000,0.000,0.000,0.000,0.250
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),10: 9am (9am-10am),68,1592,1592,0.6,0.6,1,1,14.361,0.000,0.125,0.000,0.375,0.125,0.125,0.000,0.000,0.125,0.000,0.000,0.000,0.125,0.875,0.000,0.125,0.000,0.000,0.000,0.625,0.250,0.000,0.000,0.000,0.375,0.125,0.125,0.125,0.000,0.250
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),11: 10am (10am-11am),203,1899,1899,0.7,0.7,2,2,3.848,0.043,0.176,0.043,0.174,0.130,0.087,0.043,0.087,0.000,0.000,0.043,0.000,0.174,0.827,0.043,0.087,0.043,0.000,0.000,0.435,0.391,0.087,0.000,0.043,0.654,0.130,0.000,0.043,0.043,0.130
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),12: 11am (11am-12noon),223,1749,1749,0.6,0.6,1,1,7.782,0.080,0.040,0.040,0.160,0.120,0.160,0.040,0.080,0.120,0.040,0.000,0.080,0.040,0.880,0.120,0.000,0.000,0.000,0.000,0.160,0.680,0.120,0.040,0.000,0.560,0.240,0.040,0.000,0.000,0.160
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),13: 12pm (12noon-1pm),233,2404,2404,0.7,0.7,1,1,2.962,0.077,0.077,0.000,0.115,0.155,0.115,0.000,0.077,0.077,0.038,0.038,0.077,0.154,0.770,0.192,0.038,0.000,0.000,0.000,0.538,0.385,0.000,0.038,0.000,0.578,0.115,0.077,0.077,0.115,0.038
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),14: 1pm (1pm-2pm),151,2535,2535,1.0,1.0,1,1,1.813,0.059,0.059,0.059,0.176,0.176,0.059,0.000,0.118,0.000,0.059,0.000,0.000,0.235,0.764,0.118,0.059,0.000,0.000,0.059,0.294,0.647,0.059,0.000,0.000,0.647,0.294,0.059,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),15: 2pm (2pm-3pm),263,1913,1913,0.6,0.6,1,1,4.221,0.069,0.069,0.174,0.069,0.172,0.103,0.034,0.069,0.069,0.034,0.000,0.000,0.138,0.793,0.138,0.069,0.000,0.000,0.000,0.379,0.483,0.103,0.034,0.000,0.554,0.241,0.034,0.034,0.034,0.103
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),16: 3pm (3pm-4pm),192,1582,1582,0.7,0.7,2,2,3.304,0.045,0.091,0.182,0.136,0.319,0.091,0.000,0.000,0.000,0.045,0.000,0.000,0.091,0.774,0.136,0.045,0.045,0.000,0.000,0.273,0.455,0.091,0.136,0.045,0.455,0.182,0.136,0.091,0.000,0.136
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),17: 4pm (4pm-5pm),134,2024,2024,0.8,0.8,2,2,9.526,0.133,0.000,0.200,0.067,0.067,0.133,0.000,0.133,0.067,0.000,0.067,0.000,0.133,0.866,0.000,0.067,0.067,0.000,0.000,0.400,0.200,0.200,0.133,0.067,0.467,0.067,0.133,0.133,0.067,0.133
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),18: 5pm (5pm-6pm),64,1135,1135,0.6,0.6,2,2,1.977,0.143,0.000,0.285,0.286,0.000,0.000,0.286,0.000,0.000,0.000,0.000,0.000,0.000,0.857,0.143,0.000,0.000,0.000,0.000,0.286,0.286,0.286,0.143,0.000,0.571,0.429,0.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),19: 6pm (6pm-7pm),60,1503,1503,0.3,0.3,1,1,1.699,0.000,0.000,0.285,0.000,0.286,0.143,0.143,0.000,0.000,0.143,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.714,0.286,0.000,0.000,0.000,0.714,0.286,0.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,1: Monday (M-M),20: 7pm (7pm-8pm),42,2766,2766,0.5,0.5,1,1,2.641,0.000,0.000,0.200,0.200,0.200,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.200,0.800,0.200,0.000,0.000,0.000,0.000,0.600,0.400,0.000,0.000,0.000,0.600,0.000,0.200,0.000,0.200,0.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,2: Tuesday (Tu-Tu),00: All Day (12am-12am),1453,1923,1923,0.6,0.6,1,1,9.938,0.030,0.060,0.181,0.163,0.151,0.066,0.078,0.042,0.042,0.030,0.024,0.000,0.133,0.862,0.048,0.066,0.012,0.012,0.000,0.440,0.422,0.114,0.024,0.000,0.482,0.211,0.114,0.024,0.024,0.145
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,2: Tuesday (Tu-Tu),04: 3am (3am-4am),17,753,753,0.1,0.1,1,1,2.132,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.500,0.000,0.500,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,2: Tuesday (Tu-Tu),05: 4am (4am-5am),17,2920,2920,0.6,0.6,1,1,2.634,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.500,1.000,0.000,0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.500,0.000,0.000,0.500,0.000,0.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,2: Tuesday (Tu-Tu),06: 5am (5am-6am),52,2316,2316,0.8,0.8,1,1,2.481,0.000,0.000,0.000,0.332,0.167,0.167,0.000,0.167,0.000,0.000,0.000,0.000,0.167,0.833,0.000,0.167,0.000,0.000,0.000,0.333,0.667,0.000,0.000,0.000,0.499,0.167,0.167,0.000,0.167,0.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,2: Tuesday (Tu-Tu),07: 6am (6am-7am),44,2003,2003,0.7,0.7,1,1,3.755,0.000,0.200,0.200,0.000,0.000,0.200,0.000,0.000,0.000,0.200,0.000,0.000,0.200,0.800,0.000,0.200,0.000,0.000,0.000,0.400,0.400,0.200,0.000,0.000,0.600,0.000,0.000,0.000,0.000,0.400
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,2: Tuesday (Tu-Tu),09: 8am (8am-9am),36,2514,2514,1.9,1.9,2,2,3.025,0.000,0.000,0.000,0.000,0.250,0.000,0.250,0.000,0.250,0.000,0.000,0.000,0.250,0.500,0.000,0.250,0.000,0.250,0.000,0.250,0.250,0.000,0.500,0.000,0.250,0.250,0.250,0.250,0.000,0.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,2: Tuesday (Tu-Tu),10: 9am (9am-10am),63,1265,1265,0.3,0.3,1,1,2.466,0.000,0.143,0.285,0.000,0.286,0.143,0.000,0.143,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.571,0.429,0.000,0.000,0.000,0.571,0.143,0.143,0.000,0.000,0.143
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,2: Tuesday (Tu-Tu),11: 10am (10am-11am),134,2099,2099,0.8,0.8,1,1,2.754,0.067,0.133,0.067,0.133,0.199,0.067,0.067,0.000,0.067,0.000,0.000,0.000,0.200,0.866,0.000,0.067,0.000,0.067,0.000,0.400,0.467,0.067,0.067,0.000,0.666,0.267,0.000,0.000,0.000,0.067
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,2: Tuesday (Tu-Tu),12: 11am (11am-12noon),159,1721,1721,0.6,0.6,1,1,35.120,0.000,0.000,0.276,0.278,0.056,0.111,0.000,0.000,0.056,0.000,0.056,0.000,0.167,0.833,0.111,0.000,0.056,0.000,0.000,0.444,0.500,0.056,0.000,0.000,0.444,0.167,0.111,0.000,0.056,0.222
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,2: Tuesday (Tu-Tu),13: 12pm (12noon-1pm),210,3124,3124,0.9,0.9,1,1,3.488,0.042,0.000,0.083,0.042,0.125,0.042,0.249,0.000,0.042,0.083,0.042,0.000,0.250,0.749,0.042,0.167,0.042,0.000,0.000,0.625,0.250,0.125,0.000,0.000,0.416,0.292,0.167,0.042,0.000,0.083
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,2: Tuesday (Tu-Tu),14: 1pm (1pm-2pm),203,1880,1880,0.7,0.7,1,1,15.815,0.000,0.000,0.263,0.217,0.130,0.000,0.043,0.043,0.087,0.087,0.000,0.000,0.130,0.783,0.130,0.087,0.000,0.000,0.000,0.391,0.348,0.217,0.043,0.000,0.436,0.130,0.130,0.043,0.087,0.174
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,2: Tuesday (Tu-Tu),15: 2pm (2pm-3pm),166,1844,1844,0.5,0.5,1,1,8.907,0.000,0.105,0.105,0.263,0.158,0.053,0.053,0.053,0.000,0.000,0.105,0.000,0.105,0.894,0.053,0.053,0.000,0.000,0.000,0.632,0.211,0.158,0.000,0.000,0.525,0.211,0.053,0.000,0.000,0.211
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,2: Tuesday (Tu-Tu),16: 3pm (3pm-4pm),68,811,811,0.3,0.3,2,2,7.535,0.000,0.250,0.500,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.125,0.750,0.125,0.000,0.000,0.375,0.250,0.125,0.000,0.000,0.250
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,2: Tuesday (Tu-Tu),17: 4pm (4pm-5pm),97,1229,1229,0.4,0.4,1,1,2.463,0.181,0.000,0.091,0.182,0.182,0.182,0.091,0.091,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.273,0.636,0.091,0.000,0.000,0.454,0.273,0.182,0.000,0.000,0.091
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,2: Tuesday (Tu-Tu),18: 5pm (5pm-6pm),69,1153,1153,0.5,0.5,1,1,1.825,0.125,0.125,0.250,0.000,0.250,0.000,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.875,0.125,0.000,0.000,0.000,0.000,0.250,0.500,0.250,0.000,0.000,0.625,0.375,0.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,2: Tuesday (Tu-Tu),19: 6pm (6pm-7pm),43,904,904,0.3,0.3,1,1,15.615,0.000,0.200,0.200,0.400,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.400,0.600,0.000,0.000,0.000,0.400,0.200,0.200,0.000,0.000,0.200
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,2: Tuesday (Tu-Tu),20: 7pm (7pm-8pm),60,1430,1430,0.4,0.4,1,1,5.837,0.000,0.000,0.143,0.285,0.286,0.000,0.143,0.000,0.143,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.429,0.429,0.143,0.000,0.000,0.428,0.286,0.143,0.000,0.000,0.143
