Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,2: Tuesday (Tu-Tu),21: 8pm (8pm-9pm),17,4818,4818,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,3: Wednesday (W-W),00: All Day (12am-12am),1188,1622,1622,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,3: Wednesday (W-W),05: 4am (4am-5am),67,1729,1729,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,3: Wednesday (W-W),06: 5am (5am-6am),17,853,853,0.2,0.2
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,3: Wednesday (W-W),07: 6am (6am-7am),37,1479,1479,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,3: Wednesday (W-W),09: 8am (8am-9am),8,3766,3766,1.1,1.1
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,3: Wednesday (W-W),10: 9am (9am-10am),99,1916,1916,0.8,0.8
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,3: Wednesday (W-W),11: 10am (10am-11am),105,1681,1681,0.5,0.5
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,3: Wednesday (W-W),12: 11am (11am-12noon),157,1269,1269,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,3: Wednesday (W-W),13: 12pm (12noon-1pm),144,1409,1409,0.4,0.4
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,3: Wednesday (W-W),14: 1pm (1pm-2pm),184,2078,2078,0.7,0.7
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,3: Wednesday (W-W),15: 2pm (2pm-3pm),122,1722,1722,0.6,0.6
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,3: Wednesday (W-W),16: 3pm (3pm-4pm),88,901,901,0.3,0.3
Pedestrian - StL Pedestrian Index,Trip Pass-Through,,Pedestrian Zone 1,yes,N/A,no,3: Wednesday (W-W),17: 4pm (4pm-5pm),55,1337,1337,0.4,0.4
