Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),19: 6pm (6pm-7pm),153,0.124,0.110,0.115,0.175,0.141,0.114,0.070,0.071,0.080,0.097,0.272,0.252,0.217,0.162,0.813,0.033,0.006,0.087,0.000,0.032,0.029,0.087,0.347,0.653,0.155,0.258,0.000,0.116,0.884
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),20: 7pm (7pm-8pm),219,0.144,0.124,0.122,0.190,0.128,0.091,0.065,0.071,0.065,0.093,0.271,0.269,0.219,0.148,0.844,0.054,0.004,0.052,0.000,0.021,0.025,0.061,0.348,0.652,0.147,0.270,0.000,0.217,0.783
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),21: 8pm (8pm-9pm),115,0.129,0.133,0.106,0.172,0.158,0.121,0.060,0.075,0.046,0.083,0.302,0.256,0.200,0.159,0.923,0.016,0.004,0.028,0.001,0.010,0.018,0.043,0.317,0.683,0.134,0.256,0.000,0.299,0.701
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),22: 9pm (9pm-10pm),30,0.109,0.127,0.101,0.184,0.107,0.111,0.075,0.095,0.091,0.099,0.266,0.246,0.229,0.160,0.798,0.029,0.005,0.119,0.000,0.017,0.032,0.060,0.386,0.614,0.146,0.309,0.000,0.055,0.945
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),23: 10pm (10pm-11pm),22,0.185,0.156,0.111,0.147,0.119,0.086,0.042,0.067,0.087,0.115,0.230,0.244,0.238,0.173,0.877,0.013,0.002,0.061,0.000,0.015,0.032,0.059,0.259,0.741,0.102,0.204,0.000,0.641,0.359
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),24: 11pm (11pm-12am),14,0.221,0.125,0.106,0.191,0.086,0.060,0.054,0.085,0.072,0.118,0.220,0.180,0.242,0.240,0.657,0.252,0.004,0.038,0.000,0.023,0.026,0.085,0.242,0.758,0.123,0.175,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),00: All Day (12am-12am),4342,0.144,0.130,0.121,0.180,0.133,0.095,0.059,0.064,0.074,0.092,0.276,0.249,0.224,0.159,0.864,0.037,0.003,0.057,0.000,0.020,0.019,0.059,0.329,0.671,0.128,0.258,0.002,0.168,0.830
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),01: 12am (12am-1am),10,0.199,0.134,0.100,0.147,0.149,0.106,0.046,0.044,0.075,0.090,0.207,0.234,0.250,0.219,0.867,0.044,0.001,0.043,0.000,0.030,0.015,0.047,0.264,0.736,0.090,0.204,0.000,0.369,0.631
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),03: 2am (2am-3am),2,0.179,0.138,0.184,0.237,0.141,0.075,0.015,0.021,0.010,0.111,0.427,0.342,0.055,0.065,0.996,0.003,0.000,0.000,0.000,0.000,0.001,0.000,0.420,0.580,0.266,0.217,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),04: 3am (3am-4am),37,0.164,0.148,0.142,0.163,0.126,0.108,0.039,0.049,0.061,0.108,0.269,0.227,0.234,0.162,0.917,0.012,0.002,0.054,0.000,0.004,0.011,0.025,0.257,0.743,0.086,0.208,0.000,0.277,0.723
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),05: 4am (4am-5am),321,0.136,0.117,0.114,0.183,0.126,0.097,0.066,0.067,0.094,0.091,0.257,0.232,0.247,0.173,0.882,0.037,0.002,0.039,0.000,0.023,0.017,0.056,0.325,0.675,0.125,0.253,0.000,0.271,0.729
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),06: 5am (5am-6am),317,0.128,0.114,0.103,0.163,0.138,0.103,0.063,0.079,0.109,0.084,0.236,0.219,0.252,0.209,0.836,0.041,0.002,0.082,0.000,0.018,0.021,0.058,0.346,0.654,0.132,0.267,0.000,0.352,0.648
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),07: 6am (6am-7am),55,0.180,0.142,0.103,0.145,0.133,0.095,0.056,0.060,0.086,0.146,0.235,0.203,0.229,0.187,0.772,0.072,0.003,0.090,0.000,0.022,0.041,0.087,0.314,0.686,0.108,0.249,0.000,0.088,0.912
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),08: 7am (7am-8am),54,0.104,0.103,0.095,0.182,0.160,0.107,0.098,0.074,0.077,0.060,0.266,0.249,0.240,0.185,0.848,0.027,0.001,0.090,0.000,0.012,0.022,0.042,0.267,0.733,0.110,0.192,0.000,0.505,0.495
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),09: 8am (8am-9am),103,0.141,0.103,0.120,0.176,0.121,0.104,0.074,0.069,0.092,0.055,0.270,0.255,0.237,0.183,0.880,0.024,0.004,0.054,0.000,0.016,0.022,0.058,0.308,0.692,0.103,0.254,0.027,0.296,0.677
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),10: 9am (9am-10am),151,0.163,0.138,0.116,0.160,0.125,0.086,0.059,0.065,0.088,0.108,0.262,0.239,0.220,0.171,0.800,0.074,0.003,0.075,0.000,0.030,0.018,0.070,0.330,0.670,0.123,0.266,0.000,0.300,0.700
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),11: 10am (10am-11am),297,0.128,0.124,0.107,0.174,0.145,0.101,0.062,0.074,0.085,0.077,0.270,0.261,0.226,0.166,0.899,0.028,0.005,0.042,0.000,0.011,0.015,0.042,0.346,0.654,0.126,0.280,0.000,0.243,0.757
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),12: 11am (11am-12noon),301,0.156,0.155,0.135,0.188,0.123,0.083,0.047,0.066,0.047,0.112,0.305,0.259,0.198,0.126,0.856,0.050,0.005,0.041,0.000,0.030,0.018,0.070,0.331,0.669,0.127,0.262,0.000,0.158,0.842
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),13: 12pm (12noon-1pm),282,0.129,0.137,0.119,0.174,0.132,0.099,0.062,0.065,0.083,0.070,0.276,0.252,0.232,0.170,0.882,0.030,0.003,0.053,0.000,0.012,0.020,0.050,0.321,0.679,0.133,0.242,0.000,0.089,0.911
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),14: 1pm (1pm-2pm),395,0.157,0.138,0.129,0.192,0.130,0.090,0.054,0.057,0.053,0.091,0.292,0.254,0.220,0.143,0.890,0.033,0.003,0.042,0.000,0.015,0.017,0.045,0.330,0.670,0.130,0.262,0.000,0.126,0.874
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),15: 2pm (2pm-3pm),426,0.151,0.136,0.131,0.195,0.134,0.087,0.051,0.055,0.060,0.098,0.279,0.256,0.226,0.141,0.867,0.028,0.003,0.061,0.000,0.022,0.019,0.064,0.304,0.696,0.115,0.243,0.000,0.042,0.958
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),16: 3pm (3pm-4pm),347,0.168,0.138,0.130,0.183,0.129,0.090,0.046,0.054,0.062,0.101,0.303,0.266,0.199,0.131,0.916,0.022,0.003,0.026,0.000,0.015,0.018,0.047,0.330,0.670,0.132,0.260,0.013,0.076,0.911
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),17: 4pm (4pm-5pm),275,0.141,0.126,0.130,0.191,0.142,0.094,0.059,0.064,0.053,0.106,0.292,0.255,0.210,0.137,0.850,0.043,0.002,0.065,0.000,0.020,0.020,0.065,0.334,0.666,0.143,0.251,0.000,0.073,0.927
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),18: 5pm (5pm-6pm),274,0.143,0.129,0.133,0.196,0.140,0.090,0.058,0.054,0.057,0.101,0.285,0.258,0.206,0.150,0.819,0.044,0.004,0.071,0.000,0.035,0.027,0.090,0.338,0.662,0.143,0.256,0.000,0.114,0.886
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),19: 6pm (6pm-7pm),221,0.148,0.143,0.118,0.168,0.132,0.102,0.053,0.063,0.073,0.098,0.286,0.253,0.210,0.153,0.828,0.047,0.002,0.085,0.000,0.019,0.019,0.053,0.327,0.673,0.123,0.266,0.000,0.169,0.831
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),20: 7pm (7pm-8pm),302,0.111,0.115,0.113,0.168,0.136,0.112,0.074,0.073,0.098,0.076,0.272,0.232,0.237,0.183,0.887,0.027,0.002,0.049,0.001,0.020,0.014,0.055,0.343,0.657,0.139,0.266,0.000,0.135,0.865
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),21: 8pm (8pm-9pm),92,0.175,0.131,0.146,0.183,0.127,0.088,0.047,0.050,0.053,0.097,0.310,0.277,0.198,0.118,0.928,0.012,0.003,0.034,0.000,0.011,0.012,0.037,0.365,0.635,0.136,0.291,0.000,0.209,0.791
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),22: 9pm (9pm-10pm),44,0.144,0.110,0.106,0.140,0.122,0.099,0.097,0.091,0.091,0.076,0.191,0.246,0.281,0.206,0.696,0.118,0.003,0.132,0.001,0.035,0.015,0.098,0.318,0.682,0.134,0.255,0.000,0.088,0.912
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),23: 10pm (10pm-11pm),21,0.102,0.138,0.112,0.182,0.152,0.096,0.060,0.096,0.062,0.094,0.303,0.274,0.197,0.132,0.864,0.010,0.003,0.098,0.000,0.007,0.018,0.028,0.371,0.629,0.110,0.326,0.000,0.287,0.713
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),24: 11pm (11pm-12am),15,0.159,0.066,0.110,0.166,0.171,0.106,0.054,0.088,0.080,0.085,0.283,0.246,0.227,0.159,0.823,0.038,0.005,0.055,0.000,0.057,0.022,0.200,0.336,0.664,0.133,0.269,0.000,0.286,0.714
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),00: All Day (12am-12am),3939,0.142,0.133,0.120,0.175,0.133,0.091,0.062,0.069,0.075,0.092,0.271,0.247,0.226,0.164,0.855,0.039,0.004,0.064,0.000,0.019,0.019,0.059,0.323,0.677,0.130,0.253,0.002,0.194,0.804
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),02: 1am (1am-2am),13,0.133,0.168,0.204,0.135,0.146,0.130,0.030,0.029,0.025,0.065,0.287,0.296,0.223,0.129,0.974,0.001,0.006,0.003,0.000,0.013,0.003,0.010,0.327,0.673,0.063,0.292,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),03: 2am (2am-3am),3,0.181,0.105,0.131,0.336,0.064,0.094,0.040,0.031,0.018,0.063,0.265,0.317,0.133,0.222,0.914,0.010,0.016,0.046,0.001,0.000,0.013,0.002,0.213,0.787,0.071,0.175,0.000,1.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),04: 3am (3am-4am),61,0.177,0.167,0.155,0.196,0.132,0.071,0.040,0.041,0.021,0.104,0.343,0.272,0.170,0.111,0.946,0.010,0.003,0.021,0.000,0.002,0.018,0.011,0.298,0.702,0.122,0.226,0.000,0.410,0.590
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),05: 4am (4am-5am),260,0.144,0.123,0.105,0.183,0.130,0.094,0.068,0.078,0.075,0.092,0.245,0.241,0.243,0.179,0.890,0.034,0.002,0.045,0.000,0.013,0.016,0.044,0.322,0.678,0.125,0.251,0.000,0.339,0.661
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),06: 5am (5am-6am),191,0.124,0.115,0.113,0.167,0.149,0.092,0.081,0.080,0.079,0.079,0.276,0.244,0.229,0.172,0.851,0.048,0.003,0.063,0.000,0.017,0.018,0.053,0.351,0.649,0.142,0.283,0.009,0.278,0.713
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),07: 6am (6am-7am),45,0.155,0.132,0.115,0.198,0.109,0.092,0.053,0.077,0.069,0.064,0.229,0.246,0.269,0.192,0.812,0.080,0.003,0.062,0.000,0.015,0.028,0.049,0.324,0.676,0.142,0.231,0.000,0.444,0.556
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),08: 7am (7am-8am),43,0.140,0.119,0.121,0.173,0.147,0.119,0.059,0.066,0.056,0.105,0.251,0.234,0.220,0.190,0.771,0.105,0.001,0.073,0.000,0.033,0.017,0.096,0.289,0.711,0.138,0.209,0.000,0.268,0.732
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),09: 8am (8am-9am),101,0.135,0.082,0.100,0.136,0.136,0.099,0.077,0.085,0.150,0.062,0.172,0.226,0.291,0.249,0.844,0.053,0.002,0.056,0.000,0.016,0.029,0.054,0.291,0.709,0.107,0.228,0.000,0.377,0.623
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),10: 9am (9am-10am),174,0.119,0.118,0.108,0.158,0.147,0.097,0.072,0.084,0.097,0.070,0.248,0.248,0.239,0.195,0.928,0.021,0.002,0.027,0.000,0.010,0.012,0.040,0.335,0.665,0.129,0.263,0.000,0.193,0.807
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),11: 10am (10am-11am),518,0.164,0.149,0.113,0.173,0.126,0.091,0.046,0.065,0.073,0.112,0.273,0.251,0.205,0.159,0.826,0.050,0.004,0.070,0.000,0.023,0.027,0.073,0.345,0.655,0.133,0.277,0.000,0.248,0.752
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),12: 11am (11am-12noon),328,0.130,0.158,0.128,0.191,0.126,0.091,0.053,0.060,0.063,0.094,0.289,0.249,0.218,0.150,0.849,0.043,0.003,0.050,0.000,0.032,0.023,0.089,0.321,0.679,0.132,0.251,0.000,0.224,0.776
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),13: 12pm (12noon-1pm),361,0.149,0.134,0.134,0.189,0.130,0.080,0.058,0.063,0.063,0.108,0.298,0.248,0.207,0.139,0.826,0.036,0.014,0.091,0.000,0.017,0.016,0.048,0.327,0.673,0.128,0.255,0.000,0.121,0.879
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),14: 1pm (1pm-2pm),325,0.147,0.134,0.128,0.174,0.133,0.086,0.050,0.066,0.082,0.115,0.258,0.220,0.234,0.173,0.801,0.045,0.005,0.105,0.000,0.023,0.021,0.072,0.309,0.691,0.130,0.238,0.000,0.056,0.944
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),15: 2pm (2pm-3pm),274,0.136,0.133,0.122,0.169,0.139,0.103,0.062,0.069,0.067,0.082,0.262,0.260,0.231,0.165,0.874,0.031,0.003,0.061,0.000,0.014,0.017,0.051,0.329,0.671,0.138,0.256,0.006,0.053,0.941
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),16: 3pm (3pm-4pm),346,0.146,0.144,0.127,0.193,0.130,0.082,0.051,0.058,0.069,0.083,0.305,0.260,0.208,0.144,0.893,0.030,0.005,0.035,0.000,0.017,0.020,0.053,0.328,0.672,0.129,0.259,0.000,0.070,0.930
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),17: 4pm (4pm-5pm),296,0.151,0.121,0.121,0.158,0.144,0.097,0.068,0.070,0.070,0.105,0.273,0.245,0.223,0.154,0.823,0.035,0.004,0.099,0.000,0.021,0.018,0.064,0.310,0.690,0.134,0.237,0.012,0.197,0.791
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),18: 5pm (5pm-6pm),173,0.149,0.154,0.112,0.171,0.123,0.089,0.064,0.067,0.071,0.084,0.274,0.257,0.223,0.162,0.830,0.044,0.003,0.072,0.000,0.032,0.019,0.071,0.317,0.683,0.142,0.244,0.000,0.160,0.840
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),19: 6pm (6pm-7pm),163,0.132,0.126,0.114,0.155,0.120,0.100,0.074,0.089,0.090,0.084,0.248,0.253,0.231,0.184,0.850,0.041,0.002,0.067,0.000,0.020,0.020,0.050,0.334,0.666,0.123,0.271,0.000,0.239,0.761
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),20: 7pm (7pm-8pm),163,0.124,0.134,0.122,0.169,0.144,0.095,0.086,0.065,0.061,0.084,0.305,0.255,0.210,0.146,0.893,0.033,0.005,0.042,0.001,0.007,0.019,0.034,0.342,0.658,0.122,0.270,0.000,0.298,0.702
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),21: 8pm (8pm-9pm),68,0.185,0.118,0.112,0.158,0.127,0.075,0.062,0.064,0.099,0.070,0.240,0.237,0.285,0.168,0.857,0.042,0.002,0.057,0.002,0.024,0.016,0.080,0.281,0.719,0.127,0.202,0.000,0.224,0.776
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),22: 9pm (9pm-10pm),27,0.138,0.110,0.104,0.155,0.121,0.096,0.055,0.076,0.145,0.040,0.264,0.227,0.259,0.210,0.878,0.051,0.001,0.027,0.000,0.025,0.018,0.080,0.280,0.720,0.123,0.209,0.000,0.186,0.814
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),23: 10pm (10pm-11pm),5,0.099,0.080,0.046,0.158,0.175,0.036,0.114,0.104,0.188,0.007,0.302,0.355,0.179,0.157,0.994,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.447,0.553,0.000,0.447,0.000,1.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),00: All Day (12am-12am),2572,0.133,0.124,0.117,0.176,0.134,0.098,0.062,0.071,0.085,0.086,0.265,0.247,0.232,0.170,0.864,0.039,0.003,0.057,0.000,0.018,0.019,0.058,0.329,0.671,0.129,0.260,0.001,0.168,0.831
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),01: 12am (12am-1am),3,0.159,0.077,0.079,0.152,0.121,0.104,0.066,0.103,0.139,0.071,0.178,0.186,0.291,0.274,0.855,0.036,0.004,0.054,0.000,0.033,0.018,0.042,0.301,0.699,0.094,0.247,0.000,0.151,0.849
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),02: 1am (1am-2am),2,0.113,0.129,0.125,0.135,0.161,0.126,0.039,0.060,0.112,0.053,0.257,0.236,0.304,0.150,0.937,0.018,0.000,0.019,0.000,0.019,0.007,0.011,0.400,0.600,0.105,0.366,0.000,0.384,0.616
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),03: 2am (2am-3am),1,0.139,0.133,0.093,0.239,0.088,0.094,0.057,0.053,0.104,0.039,0.189,0.221,0.292,0.259,0.814,0.028,0.001,0.130,0.000,0.011,0.016,0.045,0.160,0.840,0.094,0.107,N/A,N/A,N/A
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),04: 3am (3am-4am),0,0.065,0.064,0.153,0.149,0.262,0.133,0.062,0.086,0.026,0.068,0.310,0.274,0.229,0.119,0.647,0.070,0.000,0.167,0.000,0.083,0.033,0.182,0.438,0.562,0.175,0.345,N/A,N/A,N/A
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),05: 4am (4am-5am),11,0.121,0.149,0.157,0.199,0.127,0.092,0.049,0.057,0.049,0.083,0.298,0.255,0.214,0.150,0.914,0.020,0.003,0.031,0.000,0.014,0.018,0.041,0.269,0.731,0.120,0.196,0.000,0.225,0.775
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),06: 5am (5am-6am),180,0.122,0.121,0.113,0.179,0.135,0.103,0.065,0.076,0.086,0.077,0.253,0.250,0.240,0.180,0.888,0.034,0.003,0.044,0.000,0.012,0.019,0.043,0.340,0.660,0.131,0.271,0.000,0.261,0.739
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),07: 6am (6am-7am),198,0.133,0.111,0.107,0.163,0.130,0.099,0.068,0.081,0.108,0.088,0.244,0.226,0.249,0.193,0.845,0.043,0.003,0.069,0.000,0.020,0.020,0.066,0.322,0.678,0.121,0.257,0.000,0.212,0.788
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),08: 7am (7am-8am),56,0.149,0.138,0.125,0.183,0.137,0.087,0.059,0.060,0.062,0.095,0.252,0.226,0.244,0.183,0.821,0.058,0.004,0.070,0.000,0.028,0.019,0.077,0.290,0.710,0.121,0.225,0.000,0.156,0.844
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),09: 8am (8am-9am),24,0.143,0.124,0.108,0.166,0.158,0.094,0.061,0.067,0.079,0.094,0.249,0.248,0.223,0.186,0.826,0.057,0.002,0.065,0.000,0.025,0.025,0.069,0.314,0.686,0.123,0.249,0.000,0.046,0.954
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),10: 9am (9am-10am),51,0.145,0.121,0.119,0.173,0.138,0.097,0.056,0.063,0.088,0.077,0.253,0.230,0.242,0.198,0.880,0.038,0.003,0.044,0.001,0.014,0.020,0.054,0.282,0.718,0.106,0.224,0.000,0.077,0.923
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),11: 10am (10am-11am),81,0.134,0.126,0.122,0.170,0.146,0.103,0.060,0.067,0.072,0.087,0.278,0.261,0.216,0.158,0.888,0.037,0.004,0.039,0.001,0.015,0.016,0.055,0.322,0.678,0.131,0.257,0.000,0.054,0.946
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),12: 11am (11am-12noon),192,0.132,0.130,0.119,0.181,0.139,0.098,0.060,0.066,0.075,0.090,0.273,0.261,0.224,0.152,0.875,0.036,0.003,0.051,0.000,0.017,0.018,0.055,0.328,0.672,0.127,0.259,0.000,0.072,0.928
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),13: 12pm (12noon-1pm),246,0.132,0.131,0.119,0.177,0.130,0.103,0.061,0.070,0.077,0.087,0.272,0.255,0.225,0.161,0.882,0.032,0.004,0.049,0.000,0.016,0.017,0.049,0.324,0.676,0.126,0.259,0.003,0.062,0.935
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),14: 1pm (1pm-2pm),236,0.142,0.132,0.126,0.181,0.137,0.092,0.058,0.062,0.070,0.093,0.281,0.252,0.219,0.155,0.872,0.037,0.003,0.051,0.000,0.019,0.018,0.061,0.329,0.671,0.132,0.257,0.000,0.081,0.919
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),15: 2pm (2pm-3pm),216,0.137,0.130,0.122,0.185,0.133,0.093,0.060,0.065,0.075,0.092,0.274,0.251,0.222,0.161,0.859,0.035,0.005,0.064,0.000,0.019,0.018,0.056,0.330,0.670,0.131,0.257,0.000,0.087,0.913
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),16: 3pm (3pm-4pm),231,0.132,0.129,0.122,0.180,0.135,0.098,0.057,0.069,0.078,0.086,0.271,0.255,0.229,0.159,0.874,0.039,0.003,0.049,0.000,0.018,0.017,0.054,0.322,0.678,0.128,0.252,0.001,0.126,0.873
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),17: 4pm (4pm-5pm),195,0.133,0.119,0.118,0.173,0.132,0.099,0.061,0.073,0.092,0.091,0.268,0.248,0.229,0.164,0.871,0.037,0.002,0.055,0.000,0.017,0.018,0.053,0.343,0.657,0.131,0.272,0.000,0.172,0.828
