Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),23: 10pm (10pm-11pm),15,0.228,0.113,0.097,0.146,0.105,0.121,0.036,0.077,0.077,0.090,0.209,0.225,0.222,0.254,0.640,0.122,0.093,0.065,0.002,0.045,0.033,0.078,0.297,0.703,0.112,0.239,0.000,0.079,0.921
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),24: 11pm (11pm-12am),9,0.107,0.190,0.133,0.274,0.165,0.045,0.021,0.040,0.025,0.089,0.371,0.201,0.173,0.166,0.978,0.005,0.004,0.002,0.000,0.005,0.006,0.010,0.119,0.881,0.052,0.102,0.000,1.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),00: All Day (12am-12am),2861,0.124,0.123,0.115,0.172,0.136,0.101,0.061,0.076,0.092,0.088,0.262,0.248,0.236,0.166,0.868,0.035,0.003,0.057,0.000,0.020,0.017,0.061,0.344,0.656,0.135,0.273,0.003,0.161,0.836
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),01: 12am (12am-1am),2,0.044,0.044,0.071,0.073,0.131,0.078,0.057,0.163,0.339,0.039,0.128,0.149,0.438,0.246,0.888,0.042,0.000,0.045,0.000,0.025,0.000,0.009,0.615,0.385,0.195,0.584,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),04: 3am (3am-4am),16,0.137,0.134,0.117,0.153,0.116,0.087,0.069,0.090,0.097,0.101,0.183,0.254,0.280,0.182,0.964,0.006,0.002,0.007,0.000,0.006,0.015,0.052,0.309,0.691,0.117,0.246,0.000,0.109,0.891
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),05: 4am (4am-5am),188,0.122,0.122,0.104,0.169,0.133,0.102,0.063,0.081,0.104,0.079,0.240,0.239,0.255,0.187,0.872,0.030,0.002,0.069,0.000,0.011,0.016,0.043,0.346,0.654,0.128,0.280,0.000,0.318,0.682
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),06: 5am (5am-6am),147,0.122,0.112,0.120,0.160,0.131,0.093,0.065,0.072,0.125,0.103,0.215,0.201,0.257,0.224,0.830,0.038,0.003,0.067,0.001,0.038,0.023,0.115,0.316,0.684,0.130,0.245,0.000,0.412,0.588
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),07: 6am (6am-7am),32,0.164,0.144,0.117,0.209,0.113,0.081,0.055,0.030,0.087,0.108,0.290,0.287,0.181,0.134,0.923,0.045,0.001,0.012,0.000,0.003,0.016,0.024,0.292,0.708,0.095,0.247,0.000,0.413,0.587
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),08: 7am (7am-8am),36,0.139,0.142,0.150,0.184,0.125,0.084,0.057,0.065,0.054,0.145,0.247,0.266,0.220,0.122,0.737,0.039,0.002,0.139,0.000,0.054,0.029,0.129,0.325,0.675,0.150,0.260,0.000,0.400,0.600
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),09: 8am (8am-9am),25,0.098,0.128,0.111,0.158,0.126,0.097,0.073,0.098,0.111,0.072,0.258,0.266,0.260,0.144,0.936,0.020,0.000,0.015,0.000,0.012,0.017,0.032,0.401,0.599,0.177,0.336,0.000,0.057,0.943
