Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),24: 11pm (11pm-12am),7,1134,2843,7.7,12.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),00: All Day (12am-12am),2633,2804,2859,16.9,17.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),01: 12am (12am-1am),2,1996,1996,7.4,7.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),03: 2am (2am-3am),2,1849,1849,8.4,8.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),04: 3am (3am-4am),22,1795,1795,10.1,10.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),05: 4am (4am-5am),260,2138,2131,14.1,14.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),06: 5am (5am-6am),183,2548,2563,14.7,14.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),07: 6am (6am-7am),22,1692,2457,6.4,9.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),08: 7am (7am-8am),26,2233,2087,11.1,10.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),09: 8am (8am-9am),31,3652,3652,34.3,34.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),10: 9am (9am-10am),145,2780,3120,15.9,17.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),11: 10am (10am-11am),144,2964,2992,18.8,19.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),12: 11am (11am-12noon),238,3540,3507,23.4,23.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),13: 12pm (12noon-1pm),216,3586,3459,25.5,24.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),14: 1pm (1pm-2pm),195,2989,2885,16.1,15.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),15: 2pm (2pm-3pm),256,3022,3068,16.9,16.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),16: 3pm (3pm-4pm),170,2927,3100,15.2,15.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),17: 4pm (4pm-5pm),186,3018,3126,21.6,21.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),18: 5pm (5pm-6pm),158,2387,2623,11.7,13.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),19: 6pm (6pm-7pm),153,2563,2583,14.2,14.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),20: 7pm (7pm-8pm),128,2535,2589,10.3,11.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),21: 8pm (8pm-9pm),42,2976,3118,18.7,18.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),22: 9pm (9pm-10pm),37,1883,1883,9.9,9.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),23: 10pm (10pm-11pm),14,1613,1874,6.9,9.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),24: 11pm (11pm-12am),3,1203,1203,6.6,6.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),00: All Day (12am-12am),3091,2616,2690,15.7,15.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),01: 12am (12am-1am),2,2342,2342,24.2,24.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),03: 2am (2am-3am),4,9027,9027,12.7,12.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),04: 3am (3am-4am),21,1538,1628,7.8,8.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),05: 4am (4am-5am),315,2346,2361,17.6,17.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),06: 5am (5am-6am),130,2059,2050,11.1,11.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),07: 6am (6am-7am),20,2735,2735,16.1,16.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),08: 7am (7am-8am),48,2432,2538,12.0,12.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),09: 8am (8am-9am),52,3015,3198,13.1,13.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),10: 9am (9am-10am),137,2813,3009,14.4,16.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),11: 10am (10am-11am),255,3227,3222,18.6,18.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),12: 11am (11am-12noon),256,3036,3026,18.3,18.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),13: 12pm (12noon-1pm),250,2907,2934,17.1,16.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),14: 1pm (1pm-2pm),253,2883,2958,17.7,18.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),15: 2pm (2pm-3pm),295,2441,2540,12.6,13.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),16: 3pm (3pm-4pm),205,2656,2773,14.8,15.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),17: 4pm (4pm-5pm),179,2626,2817,15.0,15.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),18: 5pm (5pm-6pm),219,2767,2796,20.3,19.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),19: 6pm (6pm-7pm),167,1932,2017,9.4,9.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),20: 7pm (7pm-8pm),155,2575,2603,17.6,16.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),21: 8pm (8pm-9pm),65,2024,2621,9.8,11.0
