,Year,Month,Day,DOW,Day Part,Count
180,2019.0,MAY,8.0,Wed,6:00,3.0
181,2019.0,MAY,8.0,Wed,7:00,1.0
182,2019.0,MAY,8.0,Wed,8:00,5.0
183,2019.0,MAY,8.0,Wed,9:00,7.0
184,2019.0,MAY,8.0,Wed,10:00,14.0
185,2019.0,MAY,8.0,Wed,11:00,26.0
186,2019.0,MAY,8.0,Wed,12:00,40.0
187,2019.0,MAY,8.0,Wed,13:00,39.0
188,2019.0,MAY,8.0,Wed,14:00,35.0
189,2019.0,MAY,8.0,Wed,15:00,35.0
190,2019.0,MAY,8.0,Wed,16:00,31.0
191,2019.0,MAY,8.0,Wed,17:00,32.0
192,2019.0,MAY,8.0,Wed,18:00,24.0
193,2019.0,MAY,8.0,Wed,19:00,29.0
194,2019.0,MAY,8.0,Wed,20:00,43.0
195,2019.0,MAY,8.0,Wed,21:00,7.0
196,2019.0,MAY,8.0,Wed,22:00,6.0
197,2019.0,MAY,8.0,Wed,23:00,2.0
198,2019.0,MAY,8.0,Wed,24:00,0.0
199,2019.0,MAY,8.0,Wed,Total,435.0
200,2019.0,MAY,9.0,Thurs,1:00,1.0
201,2019.0,MAY,9.0,Thurs,2:00,0.0
202,2019.0,MAY,9.0,Thurs,3:00,0.0
203,2019.0,MAY,9.0,Thurs,4:00,0.0
204,2019.0,MAY,9.0,Thurs,5:00,36.0
205,2019.0,MAY,9.0,Thurs,6:00,7.0
206,2019.0,MAY,9.0,Thurs,7:00,2.0
207,2019.0,MAY,9.0,Thurs,8:00,1.0
208,2019.0,MAY,9.0,Thurs,9:00,10.0
209,2019.0,MAY,9.0,Thurs,10:00,13.0
210,2019.0,MAY,9.0,Thurs,11:00,30.0
211,2019.0,MAY,9.0,Thurs,12:00,30.0
212,2019.0,MAY,9.0,Thurs,13:00,41.0
213,2019.0,MAY,9.0,Thurs,14:00,33.0
214,2019.0,MAY,9.0,Thurs,15:00,43.0
215,2019.0,MAY,9.0,Thurs,16:00,42.0
216,2019.0,MAY,9.0,Thurs,17:00,30.0
217,2019.0,MAY,9.0,Thurs,18:00,29.0
218,2019.0,MAY,9.0,Thurs,19:00,24.0
219,2019.0,MAY,9.0,Thurs,20:00,20.0
220,2019.0,MAY,9.0,Thurs,21:00,3.0
221,2019.0,MAY,9.0,Thurs,22:00,3.0
222,2019.0,MAY,9.0,Thurs,23:00,0.0
223,2019.0,MAY,9.0,Thurs,24:00,1.0
224,2019.0,MAY,9.0,Thurs,Total,399.0
225,2019.0,MAY,10.0,Fri,1:00,0.0
226,2019.0,MAY,10.0,Fri,2:00,0.0
227,2019.0,MAY,10.0,Fri,3:00,0.0
228,2019.0,MAY,10.0,Fri,4:00,0.0
229,2019.0,MAY,10.0,Fri,5:00,8.0
230,2019.0,MAY,10.0,Fri,6:00,2.0
231,2019.0,MAY,10.0,Fri,7:00,3.0
232,2019.0,MAY,10.0,Fri,8:00,3.0
233,2019.0,MAY,10.0,Fri,9:00,3.0
234,2019.0,MAY,10.0,Fri,10:00,10.0
235,2019.0,MAY,10.0,Fri,11:00,22.0
236,2019.0,MAY,10.0,Fri,12:00,23.0
237,2019.0,MAY,10.0,Fri,13:00,16.0
238,2019.0,MAY,10.0,Fri,14:00,18.0
239,2019.0,MAY,10.0,Fri,15:00,8.0
240,2019.0,MAY,10.0,Fri,16:00,16.0
241,2019.0,MAY,10.0,Fri,17:00,14.0
242,2019.0,MAY,10.0,Fri,18:00,14.0
243,2019.0,MAY,10.0,Fri,19:00,4.0
244,2019.0,MAY,10.0,Fri,20:00,4.0
245,2019.0,MAY,10.0,Fri,21:00,1.0
246,2019.0,MAY,10.0,Fri,22:00,0.0
247,2019.0,MAY,10.0,Fri,23:00,0.0
248,2019.0,MAY,10.0,Fri,24:00,0.0
249,2019.0,MAY,10.0,Fri,Total,169.0
250,2019.0,MAY,11.0,Sat,1:00,0.0
251,2019.0,MAY,11.0,Sat,2:00,1.0
252,2019.0,MAY,11.0,Sat,3:00,0.0
253,2019.0,MAY,11.0,Sat,4:00,2.0
254,2019.0,MAY,11.0,Sat,5:00,31.0
255,2019.0,MAY,11.0,Sat,6:00,8.0
256,2019.0,MAY,11.0,Sat,7:00,5.0
257,2019.0,MAY,11.0,Sat,8:00,14.0
258,2019.0,MAY,11.0,Sat,9:00,26.0
259,2019.0,MAY,11.0,Sat,10:00,46.0
260,2019.0,MAY,11.0,Sat,11:00,74.0
261,2019.0,MAY,11.0,Sat,12:00,73.0
262,2019.0,MAY,11.0,Sat,13:00,63.0
263,2019.0,MAY,11.0,Sat,14:00,75.0
264,2019.0,MAY,11.0,Sat,15:00,70.0
265,2019.0,MAY,11.0,Sat,16:00,77.0
266,2019.0,MAY,11.0,Sat,17:00,54.0
267,2019.0,MAY,11.0,Sat,18:00,57.0
268,2019.0,MAY,11.0,Sat,19:00,71.0
269,2019.0,MAY,11.0,Sat,20:00,55.0
270,2019.0,MAY,11.0,Sat,21:00,6.0
271,2019.0,MAY,11.0,Sat,22:00,9.0
272,2019.0,MAY,11.0,Sat,23:00,4.0
273,2019.0,MAY,11.0,Sat,24:00,2.0
274,2019.0,MAY,11.0,Sat,Total,823.0
275,2019.0,MAY,12.0,Sun,1:00,1.0
276,2019.0,MAY,12.0,Sun,2:00,1.0
277,2019.0,MAY,12.0,Sun,3:00,0.0
278,2019.0,MAY,12.0,Sun,4:00,8.0
279,2019.0,MAY,12.0,Sun,5:00,69.0
280,2019.0,MAY,12.0,Sun,6:00,1.0
281,2019.0,MAY,12.0,Sun,7:00,0.0
282,2019.0,MAY,12.0,Sun,8:00,3.0
283,2019.0,MAY,12.0,Sun,9:00,20.0
284,2019.0,MAY,12.0,Sun,10:00,37.0
285,2019.0,MAY,12.0,Sun,11:00,73.0
286,2019.0,MAY,12.0,Sun,12:00,76.0
287,2019.0,MAY,12.0,Sun,13:00,78.0
288,2019.0,MAY,12.0,Sun,14:00,78.0
289,2019.0,MAY,12.0,Sun,15:00,72.0
290,2019.0,MAY,12.0,Sun,16:00,63.0
291,2019.0,MAY,12.0,Sun,17:00,47.0
292,2019.0,MAY,12.0,Sun,18:00,32.0
293,2019.0,MAY,12.0,Sun,19:00,26.0
294,2019.0,MAY,12.0,Sun,20:00,22.0
295,2019.0,MAY,12.0,Sun,21:00,0.0
296,2019.0,MAY,12.0,Sun,22:00,0.0
297,2019.0,MAY,12.0,Sun,23:00,2.0
298,2019.0,MAY,12.0,Sun,24:00,0.0
299,2019.0,MAY,12.0,Sun,Total,709.0
300,2019.0,MAY,13.0,Mon,1:00,0.0
301,2019.0,MAY,13.0,Mon,2:00,0.0
302,2019.0,MAY,13.0,Mon,3:00,0.0
303,2019.0,MAY,13.0,Mon,4:00,2.0
304,2019.0,MAY,13.0,Mon,5:00,33.0
305,2019.0,MAY,13.0,Mon,6:00,1.0
306,2019.0,MAY,13.0,Mon,7:00,3.0
307,2019.0,MAY,13.0,Mon,8:00,6.0
308,2019.0,MAY,13.0,Mon,9:00,12.0
309,2019.0,MAY,13.0,Mon,10:00,23.0
310,2019.0,MAY,13.0,Mon,11:00,44.0
311,2019.0,MAY,13.0,Mon,12:00,45.0
312,2019.0,MAY,13.0,Mon,13:00,42.0
313,2019.0,MAY,13.0,Mon,14:00,50.0
314,2019.0,MAY,13.0,Mon,15:00,51.0
315,2019.0,MAY,13.0,Mon,16:00,58.0
316,2019.0,MAY,13.0,Mon,17:00,35.0
317,2019.0,MAY,13.0,Mon,18:00,36.0
318,2019.0,MAY,13.0,Mon,19:00,46.0
319,2019.0,MAY,13.0,Mon,20:00,36.0
320,2019.0,MAY,13.0,Mon,21:00,3.0
321,2019.0,MAY,13.0,Mon,22:00,1.0
322,2019.0,MAY,13.0,Mon,23:00,1.0
323,2019.0,MAY,13.0,Mon,24:00,0.0
324,2019.0,MAY,13.0,Mon,Total,528.0
325,2019.0,MAY,14.0,Tues,1:00,0.0
326,2019.0,MAY,14.0,Tues,2:00,0.0
327,2019.0,MAY,14.0,Tues,3:00,0.0
328,2019.0,MAY,14.0,Tues,4:00,0.0
329,2019.0,MAY,14.0,Tues,5:00,3.0
330,2019.0,MAY,14.0,Tues,6:00,1.0
331,2019.0,MAY,14.0,Tues,7:00,0.0
332,2019.0,MAY,14.0,Tues,8:00,1.0
333,2019.0,MAY,14.0,Tues,9:00,11.0
334,2019.0,MAY,14.0,Tues,10:00,22.0
335,2019.0,MAY,14.0,Tues,11:00,28.0
336,2019.0,MAY,14.0,Tues,12:00,36.0
337,2019.0,MAY,14.0,Tues,13:00,14.0
338,2019.0,MAY,14.0,Tues,14:00,24.0
339,2019.0,MAY,14.0,Tues,15:00,22.0
340,2019.0,MAY,14.0,Tues,16:00,17.0
341,2019.0,MAY,14.0,Tues,17:00,13.0
342,2019.0,MAY,14.0,Tues,18:00,9.0
343,2019.0,MAY,14.0,Tues,19:00,6.0
344,2019.0,MAY,14.0,Tues,20:00,7.0
345,2019.0,MAY,14.0,Tues,21:00,1.0
346,2019.0,MAY,14.0,Tues,22:00,2.0
347,2019.0,MAY,14.0,Tues,23:00,0.0
348,2019.0,MAY,14.0,Tues,24:00,0.0
349,2019.0,MAY,14.0,Tues,Total,217.0
350,2019.0,MAY,15.0,Wed,1:00,0.0
351,2019.0,MAY,15.0,Wed,2:00,0.0
352,2019.0,MAY,15.0,Wed,3:00,0.0
353,2019.0,MAY,15.0,Wed,4:00,2.0
