Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-10 min (percent),Travel Time 10-20 min (percent),Travel Time 20-30 min (percent),Travel Time 30-40 min (percent),Travel Time 40-50 min (percent),Travel Time 50-60 min (percent),Travel Time 60-70 min (percent),Travel Time 70-80 min (percent),Travel Time 80-90 min (percent),Travel Time 90-100 min (percent),Travel Time 100-110 min (percent),Travel Time 110-120 min (percent),Travel Time 120-130 min (percent),Travel Time 130-140 min (percent),Travel Time 140-150 min (percent),Travel Time 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),06: 5am (5am-6am),150,3367,3232,28.4,26.9,27,26,1.992,0.000,0.067,0.133,0.266,0.133,0.000,0.067,0.133,0.067,0.000,0.067,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.334,0.133,0.000,0.067,0.133,0.133,0.000,0.000,0.000,0.000,0.000,0.333,0.267,0.333,0.067,0.000,0.000,0.000,0.800,0.067,0.000,0.133,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),07: 6am (6am-7am),150,2577,2577,15.6,15.6,20,20,2.070,0.000,0.000,0.200,0.333,0.200,0.067,0.133,0.000,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.466,0.333,0.067,0.067,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.067,0.467,0.333,0.133,0.000,0.000,0.000,0.000,0.533,0.400,0.067,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),08: 7am (7am-8am),200,4196,4196,41.4,41.4,25,25,2.436,0.000,0.100,0.150,0.300,0.100,0.000,0.000,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.150,0.000,0.000,0.000,0.500,0.150,0.050,0.000,0.000,0.100,0.050,0.000,0.000,0.000,0.150,0.000,0.500,0.200,0.100,0.150,0.050,0.000,0.000,0.450,0.250,0.300,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),09: 8am (8am-9am),250,2966,2966,21.9,21.9,22,22,2.517,0.000,0.160,0.240,0.200,0.080,0.080,0.040,0.000,0.120,0.040,0.000,0.000,0.000,0.000,0.000,0.040,0.000,0.000,0.120,0.360,0.320,0.000,0.000,0.040,0.120,0.000,0.000,0.000,0.000,0.040,0.040,0.480,0.280,0.160,0.040,0.000,0.000,0.000,0.480,0.160,0.280,0.080,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),10: 9am (9am-10am),290,2298,2299,9.9,10.2,15,15,2.523,0.000,0.069,0.241,0.484,0.069,0.069,0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.069,0.690,0.138,0.069,0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.000,0.103,0.621,0.276,0.000,0.000,0.000,0.000,0.000,0.276,0.518,0.103,0.069,0.034,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),11: 10am (10am-11am),290,3264,3315,21.4,21.7,21,21,2.815,0.034,0.000,0.243,0.069,0.138,0.172,0.069,0.069,0.069,0.069,0.034,0.000,0.000,0.034,0.000,0.000,0.000,0.000,0.069,0.311,0.138,0.207,0.103,0.069,0.069,0.000,0.034,0.000,0.000,0.000,0.138,0.276,0.414,0.172,0.000,0.000,0.000,0.000,0.276,0.415,0.103,0.172,0.000,0.034
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),12: 11am (11am-12noon),410,3103,2906,20.8,18.9,18,18,3.186,0.000,0.098,0.220,0.317,0.122,0.049,0.024,0.073,0.000,0.000,0.024,0.024,0.000,0.000,0.000,0.049,0.000,0.000,0.268,0.367,0.146,0.049,0.049,0.024,0.024,0.024,0.000,0.000,0.000,0.049,0.268,0.391,0.171,0.146,0.024,0.000,0.000,0.000,0.292,0.268,0.171,0.098,0.098,0.073
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),13: 12pm (12noon-1pm),460,3182,3246,20.8,21.0,20,20,2.653,0.022,0.065,0.218,0.152,0.087,0.174,0.087,0.043,0.065,0.000,0.000,0.000,0.000,0.022,0.022,0.043,0.000,0.000,0.087,0.391,0.174,0.196,0.043,0.022,0.043,0.000,0.000,0.000,0.022,0.022,0.087,0.500,0.326,0.065,0.022,0.000,0.000,0.000,0.370,0.435,0.043,0.109,0.000,0.043
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),14: 1pm (1pm-2pm),530,2344,2275,11.6,11.1,16,16,3.426,0.000,0.264,0.264,0.170,0.094,0.132,0.019,0.019,0.000,0.000,0.000,0.019,0.000,0.000,0.000,0.019,0.000,0.000,0.302,0.414,0.208,0.057,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.019,0.113,0.736,0.132,0.019,0.000,0.000,0.000,0.000,0.151,0.396,0.170,0.113,0.113,0.057
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),15: 2pm (2pm-3pm),330,2082,2156,7.9,8.4,15,15,3.513,0.030,0.212,0.333,0.091,0.061,0.152,0.061,0.030,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.030,0.333,0.303,0.273,0.061,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.182,0.697,0.121,0.000,0.000,0.000,0.000,0.000,0.091,0.273,0.332,0.152,0.061,0.091
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),16: 3pm (3pm-4pm),340,3384,3146,20.7,19.7,18,21,5.066,0.000,0.237,0.176,0.059,0.147,0.059,0.088,0.029,0.088,0.000,0.000,0.029,0.000,0.000,0.029,0.059,0.000,0.000,0.235,0.266,0.235,0.118,0.059,0.000,0.000,0.029,0.000,0.000,0.029,0.029,0.206,0.383,0.324,0.029,0.029,0.000,0.000,0.029,0.147,0.324,0.206,0.206,0.029,0.088
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),17: 4pm (4pm-5pm),230,2270,2591,9.9,13.5,16,17,3.549,0.000,0.000,0.350,0.217,0.217,0.087,0.000,0.000,0.043,0.043,0.043,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.174,0.391,0.261,0.087,0.000,0.000,0.087,0.000,0.000,0.000,0.000,0.000,0.217,0.435,0.261,0.087,0.000,0.000,0.000,0.000,0.174,0.392,0.130,0.087,0.043,0.174
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),18: 5pm (5pm-6pm),90,2669,3026,13.8,17.5,17,18,3.537,0.000,0.000,0.334,0.222,0.000,0.111,0.111,0.000,0.111,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.222,0.222,0.334,0.000,0.000,0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.333,0.445,0.111,0.111,0.000,0.000,0.000,0.000,0.222,0.111,0.334,0.222,0.111,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),19: 6pm (6pm-7pm),250,2129,2155,9.1,9.5,15,15,3.154,0.000,0.160,0.280,0.280,0.160,0.000,0.040,0.040,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.200,0.520,0.160,0.080,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.160,0.600,0.240,0.000,0.000,0.000,0.000,0.000,0.240,0.320,0.160,0.160,0.040,0.080
