Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-10 min (percent),Travel Time 10-20 min (percent),Travel Time 20-30 min (percent),Travel Time 30-40 min (percent),Travel Time 40-50 min (percent),Travel Time 50-60 min (percent),Travel Time 60-70 min (percent),Travel Time 70-80 min (percent),Travel Time 80-90 min (percent),Travel Time 90-100 min (percent),Travel Time 100-110 min (percent),Travel Time 110-120 min (percent),Travel Time 120-130 min (percent),Travel Time 130-140 min (percent),Travel Time 140-150 min (percent),Travel Time 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),21: 8pm (8pm-9pm),16,2142,2294,12.7,13.2,22,21,3.776,0.000,0.278,0.149,0.170,0.170,0.106,0.021,0.043,0.021,0.000,0.021,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.128,0.382,0.298,0.128,0.043,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.064,0.362,0.468,0.106,0.000,0.000,0.000,0.000,0.191,0.469,0.085,0.149,0.021,0.085
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),22: 9pm (9pm-10pm),16,1914,2080,11.4,12.1,22,22,3.722,0.019,0.263,0.245,0.189,0.057,0.132,0.038,0.000,0.038,0.019,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.471,0.340,0.151,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.396,0.547,0.057,0.000,0.000,0.000,0.000,0.226,0.472,0.132,0.057,0.000,0.113
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),23: 10pm (10pm-11pm),5,1953,2238,11.5,12.4,21,21,3.351,0.000,0.267,0.200,0.133,0.000,0.333,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.467,0.133,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.467,0.533,0.000,0.000,0.000,0.000,0.000,0.067,0.666,0.067,0.067,0.000,0.133
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,0: All Days (M-Su),24: 11pm (11pm-12am),2,3004,3401,22.0,24.9,21,22,9.905,0.000,0.000,0.200,0.400,0.000,0.000,0.000,0.000,0.200,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.400,0.200,0.000,0.200,0.000,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.400,0.400,0.200,0.000,0.000,0.000,0.000,0.200,0.400,0.200,0.000,0.000,0.200
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),00: All Day (12am-12am),3506,2540,2586,14.3,14.5,18,18,3.106,0.010,0.126,0.239,0.225,0.140,0.080,0.053,0.038,0.030,0.012,0.011,0.010,0.004,0.005,0.004,0.013,0.000,0.002,0.161,0.440,0.222,0.077,0.030,0.019,0.023,0.008,0.002,0.004,0.002,0.010,0.130,0.552,0.243,0.063,0.010,0.001,0.000,0.001,0.288,0.392,0.129,0.101,0.037,0.053
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),04: 3am (3am-4am),117,2054,2054,12.7,12.7,20,20,2.237,0.000,0.197,0.279,0.313,0.098,0.049,0.000,0.016,0.016,0.016,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.164,0.492,0.230,0.049,0.000,0.016,0.033,0.016,0.000,0.000,0.000,0.000,0.049,0.443,0.410,0.082,0.016,0.000,0.000,0.000,0.361,0.573,0.066,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),05: 4am (4am-5am),182,2350,2396,14.2,14.6,20,20,2.363,0.000,0.107,0.320,0.226,0.143,0.036,0.060,0.060,0.000,0.012,0.012,0.000,0.012,0.012,0.000,0.000,0.000,0.000,0.060,0.511,0.238,0.107,0.024,0.024,0.012,0.000,0.000,0.024,0.000,0.000,0.024,0.594,0.310,0.048,0.024,0.000,0.000,0.000,0.345,0.488,0.119,0.024,0.024,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),06: 5am (5am-6am),78,2806,2768,20.7,20.3,23,23,2.275,0.000,0.128,0.179,0.256,0.077,0.051,0.103,0.077,0.077,0.000,0.026,0.026,0.000,0.000,0.000,0.000,0.000,0.000,0.077,0.282,0.307,0.103,0.051,0.026,0.103,0.051,0.000,0.000,0.000,0.000,0.026,0.411,0.333,0.179,0.051,0.000,0.000,0.000,0.564,0.282,0.051,0.077,0.000,0.026
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),07: 6am (6am-7am),87,2503,2508,13.5,13.5,19,19,2.529,0.000,0.091,0.136,0.342,0.182,0.091,0.045,0.045,0.045,0.000,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.045,0.478,0.318,0.068,0.068,0.023,0.000,0.000,0.000,0.000,0.000,0.000,0.091,0.523,0.295,0.091,0.000,0.000,0.000,0.000,0.341,0.476,0.114,0.023,0.023,0.023
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),08: 7am (7am-8am),104,3147,3153,24.7,24.5,21,21,2.459,0.000,0.154,0.115,0.251,0.173,0.077,0.038,0.019,0.038,0.077,0.000,0.000,0.000,0.000,0.000,0.058,0.000,0.000,0.135,0.366,0.192,0.154,0.019,0.019,0.038,0.019,0.000,0.000,0.000,0.058,0.058,0.519,0.288,0.058,0.058,0.019,0.000,0.000,0.384,0.385,0.135,0.077,0.019,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),09: 8am (8am-9am),182,2953,2987,20.9,20.8,21,20,2.673,0.012,0.105,0.198,0.186,0.208,0.058,0.058,0.035,0.058,0.012,0.012,0.000,0.012,0.000,0.023,0.023,0.000,0.000,0.093,0.395,0.256,0.070,0.035,0.035,0.058,0.012,0.000,0.023,0.000,0.023,0.093,0.465,0.244,0.174,0.012,0.012,0.000,0.000,0.418,0.384,0.140,0.035,0.000,0.023
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),10: 9am (9am-10am),305,2597,2606,13.6,13.8,17,17,2.477,0.000,0.083,0.257,0.263,0.125,0.111,0.042,0.021,0.028,0.014,0.007,0.014,0.014,0.007,0.014,0.000,0.000,0.000,0.083,0.542,0.194,0.090,0.021,0.021,0.021,0.014,0.000,0.014,0.000,0.000,0.125,0.556,0.243,0.069,0.007,0.000,0.000,0.000,0.402,0.403,0.111,0.049,0.021,0.014
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),11: 10am (10am-11am),280,2756,2816,15.7,16.1,18,18,2.494,0.023,0.053,0.245,0.160,0.145,0.137,0.061,0.053,0.046,0.031,0.015,0.000,0.008,0.023,0.000,0.000,0.000,0.008,0.130,0.420,0.153,0.137,0.053,0.061,0.015,0.000,0.023,0.000,0.000,0.000,0.176,0.450,0.252,0.122,0.000,0.000,0.000,0.000,0.389,0.420,0.069,0.084,0.023,0.015
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),12: 11am (11am-12noon),345,2812,2780,15.8,15.3,17,17,3.271,0.006,0.117,0.250,0.240,0.117,0.032,0.045,0.071,0.026,0.006,0.026,0.045,0.000,0.000,0.000,0.019,0.000,0.000,0.175,0.489,0.123,0.078,0.032,0.032,0.039,0.013,0.006,0.000,0.000,0.013,0.169,0.546,0.201,0.078,0.006,0.000,0.000,0.000,0.286,0.338,0.143,0.104,0.058,0.071
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),13: 12pm (12noon-1pm),270,2679,2694,14.7,14.7,17,17,3.163,0.023,0.085,0.239,0.215,0.115,0.115,0.077,0.046,0.038,0.008,0.008,0.000,0.000,0.008,0.008,0.015,0.000,0.000,0.131,0.460,0.200,0.131,0.031,0.008,0.015,0.008,0.000,0.000,0.008,0.008,0.138,0.554,0.254,0.046,0.008,0.000,0.000,0.000,0.300,0.447,0.046,0.092,0.038,0.077
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),14: 1pm (1pm-2pm),352,2589,2629,15.7,15.8,16,17,3.599,0.006,0.220,0.262,0.190,0.101,0.071,0.036,0.024,0.006,0.000,0.012,0.012,0.006,0.006,0.000,0.048,0.000,0.000,0.304,0.392,0.190,0.024,0.012,0.012,0.012,0.006,0.000,0.006,0.000,0.042,0.131,0.684,0.125,0.036,0.024,0.000,0.000,0.000,0.185,0.357,0.155,0.167,0.065,0.071
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),15: 2pm (2pm-3pm),282,2313,2357,10.5,10.7,16,16,3.339,0.008,0.158,0.284,0.195,0.105,0.105,0.045,0.023,0.030,0.023,0.008,0.000,0.000,0.008,0.008,0.000,0.000,0.008,0.256,0.374,0.248,0.068,0.015,0.000,0.023,0.008,0.000,0.000,0.000,0.000,0.143,0.684,0.158,0.015,0.000,0.000,0.000,0.000,0.173,0.315,0.203,0.203,0.038,0.068
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),16: 3pm (3pm-4pm),209,2640,2627,14.3,14.3,17,18,3.879,0.020,0.172,0.223,0.131,0.121,0.121,0.071,0.030,0.071,0.000,0.000,0.010,0.000,0.000,0.010,0.020,0.000,0.000,0.212,0.384,0.232,0.051,0.071,0.020,0.000,0.010,0.000,0.000,0.010,0.010,0.182,0.495,0.242,0.061,0.010,0.000,0.000,0.010,0.202,0.363,0.162,0.162,0.030,0.081
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),17: 4pm (4pm-5pm),177,2311,2464,11.3,12.8,16,17,3.390,0.000,0.107,0.273,0.226,0.202,0.048,0.048,0.024,0.012,0.012,0.024,0.012,0.000,0.000,0.000,0.012,0.000,0.012,0.143,0.451,0.250,0.048,0.048,0.000,0.036,0.000,0.000,0.000,0.012,0.000,0.179,0.487,0.274,0.060,0.000,0.000,0.000,0.000,0.202,0.393,0.119,0.131,0.060,0.095
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),18: 5pm (5pm-6pm),196,2209,2489,9.5,11.4,15,16,3.356,0.023,0.091,0.193,0.263,0.216,0.068,0.034,0.045,0.023,0.011,0.011,0.011,0.011,0.000,0.000,0.000,0.000,0.000,0.182,0.443,0.295,0.023,0.000,0.023,0.034,0.000,0.000,0.000,0.000,0.000,0.170,0.625,0.182,0.023,0.000,0.000,0.000,0.000,0.216,0.352,0.114,0.159,0.091,0.068
