Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,0: All Days (M-Su),18: 5pm (5pm-6pm),24,3622,3521,24.0,23.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,0: All Days (M-Su),19: 6pm (6pm-7pm),15,3570,3652,19.8,20.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,0: All Days (M-Su),20: 7pm (7pm-8pm),22,2499,2545,13.1,13.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,0: All Days (M-Su),21: 8pm (8pm-9pm),21,2546,2651,12.3,13.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,0: All Days (M-Su),22: 9pm (9pm-10pm),3,7597,7597,99.3,99.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,0: All Days (M-Su),23: 10pm (10pm-11pm),2,2224,2224,12.5,12.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,0: All Days (M-Su),24: 11pm (11pm-12am),1,2031,2031,11.1,11.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,1: Monday (M-M),00: All Day (12am-12am),208,3154,3112,17.4,17.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,1: Monday (M-M),06: 5am (5am-6am),9,1398,1398,4.6,4.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,1: Monday (M-M),07: 6am (6am-7am),18,2710,2710,17.5,17.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,1: Monday (M-M),11: 10am (10am-11am),13,2118,2118,8.5,8.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,1: Monday (M-M),12: 11am (11am-12noon),15,3978,2882,9.2,7.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,1: Monday (M-M),13: 12pm (12noon-1pm),21,7616,7616,55.1,55.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,1: Monday (M-M),14: 1pm (1pm-2pm),14,3203,3203,15.4,15.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,1: Monday (M-M),15: 2pm (2pm-3pm),5,1408,1408,4.6,4.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,1: Monday (M-M),16: 3pm (3pm-4pm),23,2084,2084,6.5,6.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,1: Monday (M-M),17: 4pm (4pm-5pm),12,3943,3943,16.6,16.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,1: Monday (M-M),18: 5pm (5pm-6pm),6,1906,1906,8.6,8.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,1: Monday (M-M),19: 6pm (6pm-7pm),14,2122,2122,11.4,11.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,1: Monday (M-M),20: 7pm (7pm-8pm),11,3408,3408,24.8,24.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,1: Monday (M-M),21: 8pm (8pm-9pm),40,3316,3316,19.5,19.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,1: Monday (M-M),24: 11pm (11pm-12am),6,2031,2031,11.1,11.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,2: Tuesday (Tu-Tu),00: All Day (12am-12am),231,3179,3333,20.3,21.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,2: Tuesday (Tu-Tu),06: 5am (5am-6am),17,2902,2902,13.7,13.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,2: Tuesday (Tu-Tu),07: 6am (6am-7am),6,1757,1757,9.1,9.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,2: Tuesday (Tu-Tu),08: 7am (7am-8am),17,2012,2515,6.4,9.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,2: Tuesday (Tu-Tu),09: 8am (8am-9am),12,1698,1698,4.9,4.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,2: Tuesday (Tu-Tu),10: 9am (9am-10am),6,4274,4274,10.0,10.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,2: Tuesday (Tu-Tu),12: 11am (11am-12noon),26,2901,2901,10.9,10.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,2: Tuesday (Tu-Tu),13: 12pm (12noon-1pm),12,2478,2478,8.6,8.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,2: Tuesday (Tu-Tu),14: 1pm (1pm-2pm),29,2469,2469,5.6,5.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,2: Tuesday (Tu-Tu),15: 2pm (2pm-3pm),25,2150,3743,6.0,27.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,2: Tuesday (Tu-Tu),16: 3pm (3pm-4pm),37,7872,7172,104.9,89.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,2: Tuesday (Tu-Tu),17: 4pm (4pm-5pm),24,3137,3137,12.2,12.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,2: Tuesday (Tu-Tu),19: 6pm (6pm-7pm),5,2731,2731,15.7,15.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,2: Tuesday (Tu-Tu),21: 8pm (8pm-9pm),14,1982,1982,7.3,7.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,3: Wednesday (W-W),00: All Day (12am-12am),339,2925,2904,13.9,13.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,3: Wednesday (W-W),06: 5am (5am-6am),23,2006,2192,7.1,8.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,3: Wednesday (W-W),07: 6am (6am-7am),6,2129,2129,5.0,5.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,3: Wednesday (W-W),08: 7am (7am-8am),11,1737,1737,5.8,5.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,3: Wednesday (W-W),09: 8am (8am-9am),11,3036,3036,5.6,5.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,3: Wednesday (W-W),10: 9am (9am-10am),8,0,2717,0,6.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,3: Wednesday (W-W),11: 10am (10am-11am),32,3167,4291,8.5,14.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,3: Wednesday (W-W),12: 11am (11am-12noon),23,5717,5717,52.9,52.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,4,no,3: Wednesday (W-W),13: 12pm (12noon-1pm),29,5145,3094,21.0,11.0
