Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-10 min (percent),Travel Time 10-20 min (percent),Travel Time 20-30 min (percent),Travel Time 30-40 min (percent),Travel Time 40-50 min (percent),Travel Time 50-60 min (percent),Travel Time 60-70 min (percent),Travel Time 70-80 min (percent),Travel Time 80-90 min (percent),Travel Time 90-100 min (percent),Travel Time 100-110 min (percent),Travel Time 110-120 min (percent),Travel Time 120-130 min (percent),Travel Time 130-140 min (percent),Travel Time 140-150 min (percent),Travel Time 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,0: All Days (M-Su),21: 8pm (8pm-9pm),13,3357,3549,22.0,21.9,22,22,4.583,0.024,0.079,0.102,0.094,0.181,0.173,0.087,0.063,0.063,0.031,0.016,0.024,0.000,0.024,0.000,0.039,0.000,0.008,0.071,0.142,0.369,0.205,0.126,0.008,0.031,0.016,0.008,0.000,0.000,0.016,0.031,0.457,0.346,0.150,0.008,0.008,0.000,0.000,0.395,0.236,0.118,0.047,0.031,0.173
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,0: All Days (M-Su),22: 9pm (9pm-10pm),3,2385,2790,13.2,14.6,22,20,8.038,0.030,0.121,0.182,0.030,0.091,0.274,0.121,0.091,0.030,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.121,0.182,0.485,0.182,0.000,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.091,0.546,0.242,0.091,0.030,0.000,0.000,0.000,0.364,0.212,0.030,0.000,0.030,0.364
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,0: All Days (M-Su),23: 10pm (10pm-11pm),2,4099,4525,36.3,32.5,25,22,6.567,0.056,0.056,0.219,0.111,0.056,0.000,0.000,0.056,0.000,0.056,0.167,0.000,0.056,0.056,0.000,0.111,0.000,0.000,0.167,0.111,0.332,0.167,0.000,0.000,0.000,0.111,0.056,0.000,0.000,0.056,0.111,0.444,0.278,0.111,0.000,0.056,0.000,0.000,0.611,0.167,0.000,0.000,0.000,0.222
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,0: All Days (M-Su),24: 11pm (11pm-12am),1,3000,3304,19.8,21.0,25,24,5.461,0.077,0.077,0.000,0.307,0.000,0.077,0.000,0.154,0.154,0.154,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.231,0.307,0.308,0.077,0.000,0.077,0.000,0.000,0.000,0.000,0.000,0.000,0.461,0.231,0.308,0.000,0.000,0.000,0.000,0.307,0.308,0.231,0.000,0.000,0.154
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,1: Monday (M-M),00: All Day (12am-12am),824,2838,2977,18.2,18.8,21,21,3.353,0.020,0.161,0.191,0.152,0.135,0.075,0.076,0.052,0.036,0.022,0.017,0.009,0.008,0.004,0.008,0.034,0.000,0.002,0.157,0.293,0.290,0.143,0.037,0.021,0.010,0.012,0.004,0.004,0.003,0.024,0.073,0.463,0.321,0.121,0.018,0.003,0.001,0.000,0.562,0.221,0.084,0.051,0.015,0.067
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,1: Monday (M-M),06: 5am (5am-6am),3,9407,7778,106.5,82.7,30,26,4.102,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,0.500,0.000,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.500,0.250,0.000,0.250,0.000,0.000,0.000,0.250,0.000,0.250,0.250,0.000,0.250
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,1: Monday (M-M),07: 6am (6am-7am),2,1967,1967,10.2,10.2,20,20,1.439,0.000,0.334,0.333,0.000,0.000,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.333,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,1: Monday (M-M),08: 7am (7am-8am),16,2094,2176,9.1,9.6,17,17,1.899,0.042,0.083,0.417,0.083,0.125,0.083,0.125,0.042,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.208,0.542,0.125,0.125,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.125,0.625,0.167,0.083,0.000,0.000,0.000,0.000,0.708,0.208,0.042,0.000,0.000,0.042
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,1: Monday (M-M),09: 8am (8am-9am),23,3481,3585,23.7,23.8,17,17,6.153,0.000,0.100,0.333,0.033,0.100,0.100,0.100,0.033,0.067,0.000,0.067,0.000,0.000,0.000,0.000,0.067,0.000,0.000,0.200,0.399,0.167,0.100,0.067,0.000,0.000,0.000,0.000,0.000,0.000,0.067,0.167,0.600,0.133,0.033,0.067,0.000,0.000,0.000,0.767,0.133,0.000,0.000,0.000,0.100
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Acadia Area,yes,0,yes,1: Monday (M-M),10: 9am (9am-10am),33,3116,3353,17.7,18.7,20,20,3.349,0.039,0.059,0.137,0.294,0.137,0.000,0.098,0.098,0.020,0.000,0.039,0.020,0.000,0.000,0.000,0.059,0.000,0.000,0.118,0.255,0.373,0.098,0.078,0.000,0.000,0.039,0.000,0.000,0.039,0.000,0.039,0.510,0.353,0.098,0.000,0.000,0.000,0.000,0.549,0.255,0.078,0.039,0.020,0.059
