Full_Date,value,temp,humidity,wind_speed,rain_1h
10/12/2019,1701,50.53185185,89.18518519,7.821851852,6.11
10/13/2019,2653,52.97083333,84.83333333,5.2925,0
10/14/2019,1984,51.5125,90.5,3.644166667,0.12
10/15/2019,2381,52.4868,73.88,6.4776,1.2
10/16/2019,1352,46.64458333,75.91666667,2.464166667,0
10/17/2019,1062,51.6446875,84.625,13.2171875,81.38
10/18/2019,1350,47.71583333,69.95833333,13.16791667,1.37
10/19/2019,2252,47.78625,62.04166667,11.76958333,0
10/20/2019,1400,43.70583333,67.75,4.946666667,0
10/21/2019,1266,49.44,74.04166667,3.01375,0
10/22/2019,817,47.33833333,74.75,4.267916667,0
10/23/2019,682,53.26942857,84.25714286,9.658571429,84.52
10/24/2019,1081,50.475,64.20833333,13.62583333,0
10/25/2019,596,51.10375,62.83333333,8.039166667,0.25
10/26/2019,1144,47.67208333,75.875,5.039583333,7.24
10/27/2019,448,40.3792,71.72,3.2872,9.31
10/28/2019,404,45.56241379,85.44827586,6.555172414,27.18
10/29/2019,348,47.3275,75.83333333,2.9575,0
10/30/2019,313,51.8737037,82.37037037,3.793703704,0.25
10/31/2019,141,56.91236842,85.68421053,11.87947368,82.83
6/1/2020,242,47.35,50.25,11.12541667,0
6/2/2020,241,50.83041667,53.58333333,7.541666667,0
6/3/2020,152,53.53666667,79.20833333,6.273333333,1.23
6/4/2020,343,59.10625,78.125,5.569583333,0.34
6/5/2020,322,60.87833333,85.41666667,7.662916667,0.76
6/6/2020,573,57.97925926,92.07407407,3.675925926,5.82
6/7/2020,441,55.95125,84.375,6.92875,2.08
6/8/2020,407,59.85125,60.66666667,7.058333333,0
6/9/2020,345,60.40375,58.29166667,5.679583333,0
6/10/2020,285,54.81875,67.875,6.177083333,0
6/11/2020,178,55.13941176,88.08823529,14.23235294,78.07
6/12/2020,585,62.48925926,85.25925926,9.662962963,2.54
6/13/2020,946,60.42333333,67.33333333,7.937083333,0
6/14/2020,698,57.54333333,63.95833333,5.734583333,0
6/15/2020,405,55.93708333,69.16666667,3.38625,0
6/16/2020,522,60.01541667,66.83333333,3.867916667,0
6/17/2020,543,60.81333333,69.875,3,0
6/18/2020,497,65.08041667,70.33333333,6.1775,0
6/19/2020,681,70.42583333,73.20833333,7.345416667,0
6/20/2020,1185,71.59666667,72.79166667,5.787916667,0
6/21/2020,877,59.517,90.26666667,5.880333333,0
6/22/2020,562,60.64333333,89.33333333,3.124583333,0
6/23/2020,583,63.09291667,88.45833333,3.535833333,0
6/24/2020,293,60.88833333,92,5.568333333,0.43
6/25/2020,766,67.1532,77.2,6.8816,0.5
6/26/2020,763,65.72625,74.83333333,6.486666667,0
6/27/2020,1056,66.40625,77.83333333,4.609166667,0
6/28/2020,989,61.67583333,86.95833333,3.4075,0
6/29/2020,420,59.81064516,93.58064516,2.674516129,45.58
6/30/2020,389,64.8253125,93.625,4.44375,15.17
7/1/2020,770,63.72964286,92.60714286,3.033214286,4.54
7/2/2020,950,65.67875,87.54166667,4.568333333,0
7/3/2020,1452,64.3736,82.84,5.8004,0
7/4/2020,1729,56.90833333,89.16666667,4.10875,0
7/5/2020,707,55.54125,91.875,3.35875,4.68
7/6/2020,1184,58.42,87.30769231,3.498846154,2.02
7/7/2020,1044,58.74333333,86.16666667,4.099166667,0
7/8/2020,395,60.12153846,91.57692308,9.348846154,7.17
7/9/2020,1345,64.07730769,90.11538462,6.763461538,27.95
7/10/2020,917,64.3,91.2,4.3152,0.5
7/11/2020,834,64.60148148,93.74074074,7.371851852,9.19
7/12/2020,1281,67.53333333,90.875,12.3925,0.37
7/13/2020,1127,70.66375,82.16666667,4.563333333,0.68
7/14/2020,692,65.53083333,87.875,5.169583333,1.33
7/15/2020,1411,64.26041667,72.875,7.079166667,0.76
7/16/2020,1356,57.65416667,77.16666667,4.975,0
7/17/2020,719,57.03615385,84.76923077,4.995384615,8.4
7/18/2020,1760,64.23,88.57692308,6.44,0.96
7/19/2020,1531,69.06125,82.58333333,3.864583333,0
7/20/2020,1229,72.84375,80.41666667,8.530833333,0.27
7/21/2020,1739,73.54375,73.79166667,4.983333333,0
7/22/2020,1149,67.795,68.54166667,3.617083333,0
7/23/2020,839,64.61642857,88.32142857,3.111785714,7.06
7/24/2020,1852,70.5964,78.12,4.9284,6.36
7/25/2020,1902,72.17958333,70.75,6.01125,0
7/26/2020,1446,72.37208333,71.04166667,7.365416667,0
7/27/2020,1249,75.42958333,79.70833333,7.632916667,1.85
7/28/2020,1517,76.3352,76.84,5.3904,0
7/29/2020,1629,74.195,71.45833333,4.779583333,0
7/30/2020,1334,71.10833333,76.75,5.200416667,0
7/31/2020,1654,69.88708333,76.83333333,4.527916667,0
8/1/2020,1947,70.84041667,72.83333333,4.35875,0
8/2/2020,1662,69.35875,81.20833333,6.487916667,0
8/3/2020,1579,72.916,81.68,14.56,6.04
8/4/2020,1321,69.69291667,73.625,5.65,0
8/5/2020,1520,70.90458333,82.45833333,11.18291667,9.27
8/6/2020,1832,69.19458333,70.16666667,8.19375,0
8/7/2020,1721,67.13125,69.16666667,4.8375,0
8/8/2020,1900,67.335,71.04166667,3.485416667,0.11
8/9/2020,1650,68.77291667,75.16666667,4.840833333,0
8/10/2020,1680,70.785,84.125,5.63125,0
8/11/2020,2086,69.73708333,84.45833333,4.617916667,0
8/12/2020,1770,73.39875,84.33333333,8.48625,0
8/13/2020,1827,73.47208333,72.45833333,4.68625,0
8/14/2020,1828,73.01833333,64.45833333,4.679166667,0
8/15/2020,2119,68.08916667,68.83333333,5.737916667,0
8/16/2020,1709,64.04208333,77.54166667,3.132916667,0
8/17/2020,1792,63.935,75.66666667,3.775833333,2.54
8/18/2020,1710,61.6884,87,4.3052,8.86
8/19/2020,2264,63.64125,76.58333333,5.971666667,0.25
8/20/2020,2091,62.26375,71.91666667,8.89625,0.25
8/21/2020,1619,64.54208333,79.66666667,5.303333333,0
8/22/2020,2137,65.43583333,78.95833333,3.82125,7.11
8/23/2020,1596,63.01041667,84.5,3.194166667,0
8/24/2020,1520,65.79875,87.125,2.7725,0
8/25/2020,1237,66.51384615,90.11538462,5.596153846,12.43
8/26/2020,2497,61.69333333,63.45833333,14.16833333,0.25
8/27/2020,1816,58.15291667,50.66666667,12.71,0
8/28/2020,2002,59.96833333,64.04166667,8.421666667,0
8/29/2020,981,57.74857143,85.78571429,5.122857143,86.07
8/30/2020,1928,62.24041667,79.33333333,12.22333333,0.5
8/31/2020,1624,57.615,63.91666667,9.032083333,0
5/1/2021,743,46.65458333,72.04166667,14.37125,1.84
5/2/2021,621,49.80666667,55.04166667,10.28333333,0
5/3/2021,339,51.76458333,41.75,10.42833333,0
5/4/2021,366,48.72833333,60.29166667,4.254583333,0
5/5/2021,186,44.67142857,79.85714286,4.366071429,14.79
5/6/2021,456,45.5808,82.44,8.9928,10.75
5/7/2021,635,46.50375,61.29166667,7.917916667,0
5/8/2021,618,42.95625,72.83333333,9.16,1.44
5/9/2021,914,50.35458333,56.25,11.31,0
5/10/2021,450,50.41041667,71.16666667,5.875,0.33
5/11/2021,396,48.8956,81.08,6.8896,5.24
5/12/2021,545,48.45625,72.33333333,10.97333333,4.47
5/13/2021,763,51.77666667,63.33333333,4.247083333,0
5/14/2021,936,56.135,56.75,8.30625,2.11
5/15/2021,1236,53.99166667,59.58333333,7.577083333,0
5/16/2021,825,53.27083333,74.45833333,5.225833333,0
5/17/2021,900,55.02041667,76.70833333,5.57375,0
5/18/2021,761,56.74375,72.29166667,6.1525,0
5/19/2021,950,58.83041667,52.79166667,6.379583333,0
5/20/2021,1030,52.01625,76.91666667,4.884166667,0
5/21/2021,1111,53.91875,81.66666667,7.25625,0
5/22/2021,1101,54.99625,85.125,8.2675,1.4
5/23/2021,1078,60.70291667,81.41666667,7.23625,2.68
5/24/2021,1292,51.66916667,57.58333333,7.161666667,0
5/25/2021,1080,54.09625,70.5,19.29,10.92
5/26/2021,688,61.25291667,76.75,10.76875,0
5/27/2021,663,65.89083333,69.33333333,9.30625,0
5/28/2021,843,50.87666667,42.75,9,0
5/29/2021,1227,46.1975,72.875,4.685833333,6.15
5/30/2021,1209,46.35461538,77.5,5.651153846,10.29
5/31/2021,553,50.54085714,93.02857143,5.024285714,45.51
6/1/2021,947,58.1416,78.92,9.37,0.25
6/2/2021,865,61.95958333,66.33333333,6.7625,0
6/3/2021,507,57.27083333,82.5,9.57375,0.94
6/4/2021,656,61.2132,93,9.0996,0.33
6/5/2021,870,63.60166667,81.375,8.400833333,0
6/6/2021,793,68.9825,76.08333333,7.289583333,0.27
6/7/2021,950,70.73875,70.75,7.82,0
6/8/2021,873,72.45333333,74.5,7.24,0.18
6/9/2021,936,72.734,71,7.4444,98.77
6/10/2021,1038,62.77208333,44.33333333,8.017083333,0
6/11/2021,819,53.28291667,72.45833333,4.209166667,0
6/12/2021,997,56.57958333,80.125,6.655416667,0
6/13/2021,948,62.44416667,73,7.245,0
6/14/2021,980,60.53291667,78,9.3725,0
6/15/2021,697,58.72769231,90.34615385,4.664230769,12.51
6/16/2021,1314,62.46416667,71.29166667,9.195416667,0
6/17/2021,1290,61.39458333,56.875,7.352916667,0
6/18/2021,1144,62.56708333,67.75,6.724583333,0
6/19/2021,915,62.27958333,81.20833333,11.38208333,1
6/20/2021,1235,67.28833333,74.70833333,6.749166667,0
6/21/2021,1190,64.57791667,82.75,7.285416667,0.45
6/22/2021,846,65.07,90.96,10.836,2.78
6/23/2021,1351,59.96307692,73,9.749615385,22.41
6/24/2021,1341,60.20666667,71.70833333,5.314583333,0
6/25/2021,917,56.39076923,89.65384615,4.625769231,14.71
6/26/2021,1085,62.61208333,91.5,11.51583333,0.48
6/27/2021,1165,68.98041667,89.41666667,23.41083333,1.27
6/28/2021,1290,72.325,86.83333333,19.80791667,0
6/29/2021,1370,76.54875,83.5,11.32458333,0
6/30/2021,1167,74.545,84.29166667,10.48708333,0
7/1/2021,1319,70.44708333,80.95833333,11.94708333,0
7/2/2021,915,58.12875,85.375,6.805833333,15.93
7/3/2021,1308,56.29541667,82.95833333,6.80625,1.76
7/4/2021,1007,54.32137931,91.24137931,6.446551724,46.61
7/5/2021,1407,58.53166667,78.20833333,9.167083333,0.51
7/6/2021,1370,63.89541667,87.70833333,7.696666667,0
