Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-5 min (percent),Travel Time 5-10 min (percent),Travel Time 10-15 min (percent),Travel Time 15-20 min (percent),Travel Time 20-25 min (percent),Travel Time 25-30 min (percent),Travel Time 30-35 min (percent),Travel Time 35-40 min (percent),Travel Time 40-45 min (percent),Travel Time 45-50 min (percent),Travel Time 50-55 min (percent),Travel Time 55-60 min (percent),Travel Time 60+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-3 mi (percent),Trip Length 3-4 mi (percent),Trip Length 4-5 mi (percent),Trip Length 5+ mi (percent),Trip Speed 0-1 mph (percent),Trip Speed 1-2 mph (percent),Trip Speed 2-3 mph (percent),Trip Speed 3-4 mph (percent),Trip Speed 4-5 mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),00: All Day (12am-12am),1995,1230,1230,0.4,0.4,1,1,5.530,0.201,0.124,0.155,0.150,0.128,0.066,0.022,0.053,0.022,0.013,0.009,0.013,0.044,0.956,0.027,0.009,0.004,0.004,0.000,0.442,0.350,0.150,0.027,0.027,0.523,0.181,0.049,0.044,0.044,0.159
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),05: 4am (4am-5am),94,641,641,0.2,0.2,2,2,1.987,0.454,0.091,0.091,0.182,0.182,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.364,0.364,0.273,0.000,0.000,0.727,0.091,0.091,0.000,0.000,0.091
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),06: 5am (5am-6am),38,820,820,0.1,0.1,2,2,1.353,0.500,0.250,0.000,0.000,0.000,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.250,0.500,0.250,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),07: 6am (6am-7am),90,391,391,0.2,0.2,2,2,2.454,0.400,0.400,0.100,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.100,0.300,0.400,0.200,0.000,0.700,0.000,0.100,0.000,0.100,0.100
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),08: 7am (7am-8am),8,1213,1213,0.2,0.2,1,1,1.213,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),09: 8am (8am-9am),51,1462,1462,0.5,0.5,1,1,5.205,0.000,0.000,0.167,0.332,0.167,0.167,0.000,0.000,0.000,0.167,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.667,0.167,0.167,0.000,0.000,0.667,0.000,0.000,0.000,0.000,0.333
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),10: 9am (9am-10am),138,801,801,0.2,0.2,1,1,11.890,0.311,0.125,0.125,0.250,0.063,0.000,0.063,0.000,0.063,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.438,0.313,0.250,0.000,0.000,0.499,0.063,0.000,0.188,0.000,0.250
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),11: 10am (10am-11am),245,1384,1384,0.4,0.4,2,2,3.810,0.250,0.143,0.071,0.107,0.107,0.107,0.000,0.036,0.036,0.000,0.036,0.000,0.107,0.929,0.071,0.000,0.000,0.000,0.000,0.500,0.179,0.179,0.071,0.071,0.535,0.286,0.000,0.036,0.036,0.107
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),12: 11am (11am-12noon),206,925,925,0.4,0.4,2,2,8.068,0.218,0.174,0.087,0.130,0.217,0.087,0.000,0.087,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.174,0.522,0.217,0.000,0.043,0.435,0.261,0.000,0.000,0.043,0.261
Pedestrian - StL Pedestrian Index,Trip Start,,Cadillac Parking and Trails,no,N/A,no,1: Monday (M-M),13: 12pm (12noon-1pm),250,1923,1923,0.6,0.6,1,1,7.060,0.143,0.036,0.071,0.214,0.143,0.036,0.000,0.143,0.000,0.036,0.000,0.107,0.071,0.893,0.071,0.000,0.000,0.036,0.000,0.571,0.321,0.071,0.000,0.036,0.429,0.107,0.143,0.071,0.107,0.143
