Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),18: 5pm (5pm-6pm),209,2213,2370,12.2,13.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),19: 6pm (6pm-7pm),189,2339,2601,10.8,12.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),20: 7pm (7pm-8pm),99,2089,2203,9.1,9.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),21: 8pm (8pm-9pm),10,1732,2122,8.7,11.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,2: Tuesday (Tu-Tu),22: 9pm (9pm-10pm),16,1471,1471,9.4,9.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),00: All Day (12am-12am),4280,2409,2464,13.3,13.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),04: 3am (3am-4am),91,1885,1885,10.6,10.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),05: 4am (4am-5am),202,2023,2023,13.3,13.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),06: 5am (5am-6am),114,2305,2255,14.0,13.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),07: 6am (6am-7am),114,2236,2230,12.4,12.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),08: 7am (7am-8am),174,2465,2465,15.5,15.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),09: 8am (8am-9am),265,2839,2859,18.2,18.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),10: 9am (9am-10am),380,2395,2469,11.6,12.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),11: 10am (10am-11am),382,2672,2667,15.0,14.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),12: 11am (11am-12noon),355,2770,2757,17.6,17.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),13: 12pm (12noon-1pm),365,2868,2965,17.0,17.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),14: 1pm (1pm-2pm),356,2160,2208,9.3,9.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),15: 2pm (2pm-3pm),366,2254,2347,10.0,10.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),16: 3pm (3pm-4pm),297,2329,2537,12.2,12.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),17: 4pm (4pm-5pm),301,2041,2160,8.8,9.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),18: 5pm (5pm-6pm),175,2434,2466,16.0,15.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),19: 6pm (6pm-7pm),151,2307,2401,13.8,14.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),20: 7pm (7pm-8pm),166,2154,2179,9.7,9.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),21: 8pm (8pm-9pm),7,1322,1847,8.8,10.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),22: 9pm (9pm-10pm),12,2870,2870,14.6,14.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,3: Wednesday (W-W),23: 10pm (10pm-11pm),7,1162,1162,6.4,6.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),00: All Day (12am-12am),3683,2457,2526,12.9,13.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),03: 2am (2am-3am),2,1167,1167,2.6,2.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),04: 3am (3am-4am),92,1746,1762,9.1,9.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),05: 4am (4am-5am),133,2213,2213,14.0,14.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),06: 5am (5am-6am),121,1918,1949,10.7,10.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),07: 6am (6am-7am),95,2715,2783,16.0,16.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),08: 7am (7am-8am),122,2332,2466,12.8,13.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),09: 8am (8am-9am),195,2767,2818,15.4,15.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),10: 9am (9am-10am),344,2772,2776,15.1,15.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),11: 10am (10am-11am),250,2845,2826,16.2,15.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),12: 11am (11am-12noon),267,2620,2786,15.1,15.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),13: 12pm (12noon-1pm),325,2564,2566,13.9,13.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),14: 1pm (1pm-2pm),420,2360,2466,11.4,11.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),15: 2pm (2pm-3pm),284,2584,2627,13.6,13.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),16: 3pm (3pm-4pm),251,2176,2197,9.4,9.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),17: 4pm (4pm-5pm),187,2424,2524,10.0,10.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),18: 5pm (5pm-6pm),254,2380,2533,12.3,12.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),19: 6pm (6pm-7pm),188,2198,2330,10.5,11.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),20: 7pm (7pm-8pm),113,2386,2494,11.0,11.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),21: 8pm (8pm-9pm),16,1913,1913,10.6,10.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),22: 9pm (9pm-10pm),23,1513,2110,11.1,13.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,4: Thursday (Th-Th),23: 10pm (10pm-11pm),2,0,3178,0,16.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),00: All Day (12am-12am),3799,2546,2600,14.0,14.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),04: 3am (3am-4am),72,2170,2212,14.5,15.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),05: 4am (4am-5am),138,2000,2051,12.2,12.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),06: 5am (5am-6am),101,2424,2424,16.5,16.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),07: 6am (6am-7am),86,2683,2683,19.0,19.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),08: 7am (7am-8am),120,3208,3163,21.2,20.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),09: 8am (8am-9am),243,2729,2797,14.9,15.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),10: 9am (9am-10am),351,2887,2903,16.4,16.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),11: 10am (10am-11am),356,2609,2721,15.2,15.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),12: 11am (11am-12noon),331,2736,2783,15.6,15.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),13: 12pm (12noon-1pm),281,3013,3076,19.7,19.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),14: 1pm (1pm-2pm),364,2366,2419,11.7,11.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),15: 2pm (2pm-3pm),317,2305,2399,11.0,11.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),16: 3pm (3pm-4pm),236,2208,2233,9.5,9.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),17: 4pm (4pm-5pm),212,2135,2307,8.9,10.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),18: 5pm (5pm-6pm),240,3060,3046,17.7,17.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),19: 6pm (6pm-7pm),195,1992,2104,7.2,8.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),20: 7pm (7pm-8pm),106,2345,2382,10.8,11.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),21: 8pm (8pm-9pm),16,1916,1916,10.6,10.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),22: 9pm (9pm-10pm),25,1883,1883,11.5,11.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),23: 10pm (10pm-11pm),6,3435,3446,20.4,16.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,5: Friday (F-F),24: 11pm (11pm-12am),2,1848,1848,6.5,6.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),00: All Day (12am-12am),3819,2580,2635,14.7,14.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),04: 3am (3am-4am),61,1627,1627,8.6,8.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),05: 4am (4am-5am),146,2468,2468,16.7,16.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),06: 5am (5am-6am),139,2063,2088,12.7,12.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),07: 6am (6am-7am),78,2433,2433,14.0,14.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),08: 7am (7am-8am),112,2281,2309,13.3,13.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),09: 8am (8am-9am),183,2512,2487,14.7,14.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),10: 9am (9am-10am),282,2777,2802,15.2,15.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),11: 10am (10am-11am),323,2822,2849,16.1,16.0
