Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Travel Time 0-10 min (percent),Travel Time 10-20 min (percent),Travel Time 20-30 min (percent),Travel Time 30-40 min (percent),Travel Time 40-50 min (percent),Travel Time 50-60 min (percent),Travel Time 60-70 min (percent),Travel Time 70-80 min (percent),Travel Time 80-90 min (percent),Travel Time 90-100 min (percent),Travel Time 100-110 min (percent),Travel Time 110-120 min (percent),Travel Time 120-130 min (percent),Travel Time 130-140 min (percent),Travel Time 140-150 min (percent),Travel Time 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),10: 9am (9am-10am),365,2607,2617,13.7,13.8,17,17,2.479,0.000,0.078,0.255,0.272,0.128,0.113,0.035,0.021,0.028,0.014,0.007,0.014,0.014,0.007,0.014,0.000,0.000,0.000,0.078,0.547,0.199,0.085,0.021,0.021,0.021,0.014,0.000,0.014,0.000,0.000,0.128,0.553,0.241,0.071,0.007,0.000,0.000,0.000,0.397,0.412,0.106,0.050,0.021,0.014
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),11: 10am (10am-11am),309,2813,2875,16.1,16.4,18,18,2.517,0.025,0.057,0.213,0.172,0.148,0.139,0.066,0.049,0.049,0.033,0.016,0.000,0.008,0.025,0.000,0.000,0.000,0.008,0.131,0.402,0.164,0.131,0.057,0.066,0.016,0.000,0.025,0.000,0.000,0.000,0.189,0.434,0.254,0.123,0.000,0.000,0.000,0.000,0.385,0.410,0.074,0.090,0.025,0.016
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),12: 11am (11am-12noon),362,2809,2746,15.7,15.0,17,17,3.252,0.007,0.121,0.250,0.241,0.106,0.035,0.050,0.078,0.028,0.007,0.028,0.028,0.000,0.000,0.000,0.021,0.000,0.000,0.191,0.485,0.113,0.085,0.035,0.028,0.035,0.007,0.007,0.000,0.000,0.014,0.184,0.540,0.191,0.078,0.007,0.000,0.000,0.000,0.277,0.347,0.142,0.099,0.064,0.071
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),13: 12pm (12noon-1pm),325,2657,2674,14.5,14.5,17,17,3.184,0.023,0.086,0.242,0.219,0.117,0.109,0.078,0.047,0.031,0.008,0.008,0.000,0.000,0.008,0.008,0.016,0.000,0.000,0.133,0.468,0.203,0.117,0.031,0.008,0.016,0.008,0.000,0.000,0.008,0.008,0.141,0.562,0.242,0.047,0.008,0.000,0.000,0.000,0.297,0.445,0.047,0.094,0.039,0.078
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),14: 1pm (1pm-2pm),386,2497,2520,14.9,14.9,16,17,3.597,0.006,0.229,0.263,0.191,0.102,0.076,0.032,0.025,0.006,0.000,0.013,0.006,0.006,0.000,0.000,0.045,0.000,0.000,0.312,0.396,0.191,0.025,0.013,0.006,0.013,0.006,0.000,0.000,0.000,0.038,0.134,0.689,0.127,0.025,0.025,0.000,0.000,0.000,0.166,0.375,0.153,0.172,0.064,0.070
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),15: 2pm (2pm-3pm),322,2356,2398,10.8,11.0,16,16,3.353,0.008,0.150,0.275,0.205,0.102,0.110,0.047,0.024,0.031,0.024,0.008,0.000,0.000,0.008,0.008,0.000,0.000,0.008,0.244,0.369,0.260,0.071,0.016,0.000,0.024,0.008,0.000,0.000,0.000,0.000,0.142,0.692,0.150,0.016,0.000,0.000,0.000,0.000,0.173,0.315,0.205,0.197,0.039,0.071
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),16: 3pm (3pm-4pm),230,2641,2612,14.1,13.9,17,18,3.810,0.022,0.161,0.225,0.140,0.129,0.118,0.075,0.032,0.054,0.000,0.000,0.011,0.000,0.000,0.011,0.022,0.000,0.000,0.204,0.396,0.237,0.054,0.065,0.011,0.000,0.011,0.000,0.000,0.011,0.011,0.194,0.493,0.237,0.054,0.011,0.000,0.000,0.011,0.204,0.377,0.161,0.172,0.032,0.054
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),17: 4pm (4pm-5pm),206,2333,2489,11.5,13.0,17,17,3.427,0.000,0.100,0.273,0.225,0.200,0.050,0.050,0.025,0.013,0.013,0.025,0.013,0.000,0.000,0.000,0.013,0.000,0.013,0.150,0.436,0.250,0.050,0.050,0.000,0.038,0.000,0.000,0.000,0.013,0.000,0.188,0.474,0.275,0.063,0.000,0.000,0.000,0.000,0.213,0.373,0.113,0.138,0.063,0.100
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),18: 5pm (5pm-6pm),225,2187,2446,9.0,10.9,15,15,3.330,0.024,0.071,0.202,0.274,0.226,0.071,0.036,0.048,0.012,0.012,0.000,0.012,0.012,0.000,0.000,0.000,0.000,0.000,0.190,0.440,0.298,0.024,0.000,0.024,0.024,0.000,0.000,0.000,0.000,0.000,0.179,0.642,0.167,0.012,0.000,0.000,0.000,0.000,0.214,0.357,0.119,0.155,0.095,0.060
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),19: 6pm (6pm-7pm),214,2056,2143,9.5,10.0,16,16,3.620,0.011,0.143,0.263,0.264,0.143,0.066,0.055,0.044,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.187,0.461,0.275,0.066,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.132,0.593,0.264,0.011,0.000,0.000,0.000,0.000,0.187,0.384,0.231,0.099,0.022,0.077
