Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),07: 6am (6am-7am),78,0.177,0.128,0.115,0.159,0.126,0.087,0.073,0.071,0.064,0.081,0.242,0.219,0.265,0.193,0.809,0.037,0.002,0.115,0.000,0.017,0.020,0.051,0.307,0.693,0.138,0.235,0.000,0.258,0.742
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),08: 7am (7am-8am),112,0.110,0.109,0.100,0.172,0.157,0.107,0.062,0.087,0.096,0.064,0.236,0.231,0.254,0.215,0.767,0.143,0.001,0.056,0.000,0.017,0.016,0.044,0.335,0.665,0.133,0.264,0.000,0.259,0.741
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),09: 8am (8am-9am),183,0.102,0.107,0.119,0.181,0.130,0.120,0.077,0.075,0.089,0.095,0.253,0.244,0.241,0.167,0.871,0.023,0.002,0.066,0.000,0.022,0.016,0.077,0.376,0.624,0.146,0.307,0.000,0.267,0.733
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),10: 9am (9am-10am),282,0.118,0.127,0.113,0.185,0.145,0.107,0.067,0.070,0.068,0.078,0.254,0.268,0.247,0.153,0.877,0.033,0.003,0.052,0.000,0.019,0.016,0.070,0.357,0.643,0.138,0.284,0.000,0.261,0.739
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),11: 10am (10am-11am),323,0.134,0.120,0.121,0.175,0.146,0.094,0.068,0.066,0.076,0.085,0.253,0.255,0.232,0.175,0.855,0.053,0.003,0.051,0.000,0.018,0.020,0.053,0.312,0.688,0.118,0.245,0.000,0.169,0.831
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),12: 11am (11am-12noon),385,0.126,0.125,0.102,0.169,0.123,0.111,0.069,0.086,0.089,0.075,0.257,0.237,0.254,0.177,0.840,0.041,0.005,0.083,0.000,0.014,0.017,0.054,0.322,0.678,0.124,0.250,0.000,0.058,0.942
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),13: 12pm (12noon-1pm),390,0.141,0.126,0.118,0.186,0.132,0.098,0.052,0.066,0.081,0.086,0.275,0.262,0.208,0.169,0.881,0.030,0.004,0.052,0.001,0.015,0.017,0.048,0.344,0.656,0.129,0.274,0.000,0.072,0.928
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),14: 1pm (1pm-2pm),348,0.138,0.126,0.110,0.183,0.138,0.110,0.061,0.069,0.065,0.077,0.272,0.267,0.237,0.147,0.859,0.034,0.003,0.066,0.001,0.016,0.021,0.058,0.338,0.662,0.138,0.264,0.000,0.076,0.924
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),15: 2pm (2pm-3pm),334,0.145,0.125,0.122,0.179,0.134,0.093,0.062,0.060,0.080,0.090,0.270,0.265,0.221,0.154,0.894,0.041,0.004,0.028,0.000,0.016,0.017,0.058,0.353,0.647,0.141,0.275,0.000,0.083,0.917
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),16: 3pm (3pm-4pm),288,0.123,0.104,0.113,0.163,0.143,0.110,0.065,0.083,0.096,0.080,0.243,0.241,0.240,0.196,0.848,0.039,0.008,0.066,0.000,0.020,0.019,0.061,0.349,0.651,0.134,0.279,0.000,0.052,0.948
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),17: 4pm (4pm-5pm),213,0.120,0.106,0.100,0.165,0.139,0.113,0.073,0.085,0.099,0.079,0.241,0.238,0.260,0.182,0.836,0.082,0.002,0.050,0.000,0.011,0.019,0.038,0.339,0.661,0.130,0.271,0.000,0.051,0.949
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),18: 5pm (5pm-6pm),212,0.142,0.115,0.126,0.172,0.125,0.088,0.064,0.085,0.083,0.102,0.224,0.253,0.253,0.168,0.751,0.093,0.004,0.096,0.000,0.031,0.025,0.102,0.363,0.637,0.145,0.291,0.000,0.086,0.914
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),19: 6pm (6pm-7pm),168,0.102,0.098,0.099,0.174,0.145,0.109,0.082,0.083,0.108,0.068,0.251,0.248,0.248,0.185,0.847,0.034,0.001,0.086,0.001,0.014,0.017,0.047,0.417,0.583,0.165,0.328,0.000,0.131,0.869
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),20: 7pm (7pm-8pm),97,0.124,0.119,0.109,0.160,0.128,0.115,0.072,0.097,0.076,0.090,0.241,0.230,0.254,0.185,0.846,0.048,0.002,0.056,0.000,0.033,0.015,0.086,0.354,0.646,0.142,0.276,0.000,0.226,0.774
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),21: 8pm (8pm-9pm),24,0.174,0.210,0.089,0.151,0.086,0.088,0.042,0.058,0.102,0.116,0.329,0.190,0.221,0.144,0.912,0.023,0.001,0.046,0.000,0.006,0.012,0.037,0.278,0.722,0.099,0.228,0.000,0.210,0.790
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),22: 9pm (9pm-10pm),33,0.093,0.122,0.132,0.191,0.130,0.049,0.063,0.104,0.116,0.073,0.301,0.213,0.248,0.165,0.841,0.022,0.001,0.110,0.000,0.006,0.020,0.030,0.403,0.597,0.159,0.293,0.000,0.633,0.367
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,6: Saturday (Sa-Sa),23: 10pm (10pm-11pm),2,0.076,0.037,0.056,0.114,0.117,0.145,0.094,0.141,0.220,0.082,0.125,0.166,0.287,0.340,0.681,0.048,0.000,0.198,0.000,0.031,0.042,0.128,0.372,0.628,0.140,0.306,0.000,1.000,0.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),00: All Day (12am-12am),3662,0.128,0.126,0.117,0.174,0.133,0.097,0.063,0.072,0.090,0.084,0.251,0.250,0.240,0.175,0.851,0.047,0.003,0.062,0.000,0.018,0.019,0.058,0.340,0.660,0.133,0.269,0.000,0.138,0.862
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),03: 2am (2am-3am),2,0.140,0.067,0.172,0.303,0.169,0.049,0.035,0.032,0.033,0.197,0.224,0.260,0.174,0.145,0.787,0.055,0.001,0.107,0.000,0.020,0.030,0.034,0.279,0.721,0.107,0.209,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),04: 3am (3am-4am),91,0.142,0.130,0.107,0.170,0.142,0.105,0.057,0.075,0.072,0.081,0.236,0.235,0.238,0.210,0.843,0.041,0.002,0.086,0.000,0.010,0.018,0.046,0.286,0.714,0.121,0.218,0.000,0.284,0.716
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),05: 4am (4am-5am),161,0.143,0.126,0.113,0.183,0.132,0.093,0.062,0.062,0.086,0.077,0.264,0.271,0.216,0.172,0.892,0.035,0.004,0.040,0.000,0.008,0.021,0.037,0.371,0.629,0.149,0.282,0.000,0.263,0.737
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),06: 5am (5am-6am),80,0.100,0.108,0.134,0.154,0.151,0.096,0.070,0.069,0.118,0.080,0.236,0.232,0.256,0.196,0.886,0.025,0.001,0.051,0.001,0.015,0.021,0.043,0.373,0.627,0.144,0.298,0.000,0.272,0.728
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),07: 6am (6am-7am),84,0.148,0.131,0.128,0.160,0.124,0.080,0.056,0.067,0.106,0.098,0.245,0.200,0.251,0.206,0.802,0.090,0.001,0.055,0.000,0.026,0.026,0.066,0.287,0.713,0.111,0.221,0.000,0.296,0.704
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),08: 7am (7am-8am),93,0.109,0.112,0.129,0.153,0.121,0.113,0.074,0.076,0.113,0.075,0.209,0.224,0.292,0.200,0.796,0.061,0.004,0.089,0.001,0.027,0.022,0.070,0.338,0.662,0.136,0.258,0.000,0.353,0.647
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),09: 8am (8am-9am),194,0.125,0.132,0.108,0.169,0.145,0.102,0.060,0.064,0.095,0.092,0.243,0.249,0.248,0.168,0.853,0.036,0.004,0.061,0.001,0.025,0.020,0.071,0.325,0.675,0.131,0.255,0.000,0.321,0.679
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),10: 9am (9am-10am),337,0.111,0.112,0.108,0.179,0.141,0.110,0.068,0.083,0.088,0.092,0.246,0.251,0.239,0.172,0.868,0.039,0.004,0.054,0.000,0.018,0.017,0.061,0.361,0.639,0.134,0.304,0.000,0.175,0.825
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),11: 10am (10am-11am),358,0.118,0.120,0.127,0.181,0.138,0.106,0.058,0.066,0.086,0.079,0.258,0.255,0.235,0.173,0.866,0.033,0.003,0.068,0.000,0.014,0.016,0.058,0.311,0.689,0.111,0.251,0.000,0.109,0.891
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),12: 11am (11am-12noon),327,0.134,0.139,0.120,0.169,0.131,0.091,0.064,0.070,0.082,0.096,0.256,0.247,0.236,0.165,0.873,0.040,0.002,0.051,0.000,0.017,0.017,0.056,0.343,0.657,0.145,0.269,0.000,0.108,0.892
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),13: 12pm (12noon-1pm),258,0.138,0.153,0.122,0.179,0.138,0.087,0.058,0.056,0.069,0.093,0.289,0.267,0.210,0.141,0.848,0.057,0.004,0.050,0.000,0.022,0.019,0.068,0.319,0.681,0.124,0.255,0.000,0.078,0.922
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),14: 1pm (1pm-2pm),383,0.124,0.134,0.117,0.175,0.127,0.098,0.062,0.075,0.088,0.083,0.259,0.253,0.240,0.165,0.861,0.048,0.003,0.053,0.000,0.017,0.018,0.060,0.367,0.633,0.135,0.294,0.000,0.062,0.938
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),15: 2pm (2pm-3pm),256,0.138,0.124,0.110,0.181,0.131,0.098,0.062,0.075,0.081,0.077,0.264,0.251,0.229,0.179,0.846,0.066,0.002,0.049,0.001,0.015,0.021,0.050,0.342,0.658,0.130,0.274,0.000,0.087,0.913
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),16: 3pm (3pm-4pm),318,0.144,0.135,0.123,0.181,0.129,0.088,0.059,0.067,0.074,0.087,0.268,0.264,0.224,0.157,0.860,0.045,0.005,0.056,0.000,0.017,0.017,0.045,0.346,0.654,0.134,0.275,0.000,0.078,0.922
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),17: 4pm (4pm-5pm),262,0.099,0.107,0.102,0.170,0.132,0.103,0.072,0.090,0.125,0.071,0.211,0.233,0.274,0.211,0.803,0.045,0.003,0.095,0.000,0.029,0.025,0.091,0.365,0.635,0.143,0.290,0.000,0.084,0.916
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),18: 5pm (5pm-6pm),184,0.141,0.118,0.119,0.180,0.124,0.098,0.054,0.072,0.094,0.072,0.222,0.234,0.261,0.211,0.841,0.049,0.002,0.072,0.000,0.017,0.019,0.052,0.286,0.714,0.112,0.221,0.000,0.139,0.861
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),19: 6pm (6pm-7pm),153,0.153,0.119,0.100,0.171,0.138,0.089,0.071,0.068,0.091,0.076,0.265,0.274,0.235,0.150,0.863,0.042,0.002,0.060,0.000,0.011,0.022,0.037,0.345,0.655,0.137,0.277,0.000,0.087,0.913
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),20: 7pm (7pm-8pm),92,0.133,0.133,0.129,0.153,0.130,0.105,0.060,0.080,0.077,0.093,0.283,0.250,0.230,0.144,0.763,0.074,0.004,0.123,0.000,0.018,0.018,0.058,0.369,0.631,0.151,0.286,0.000,0.061,0.939
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),21: 8pm (8pm-9pm),10,0.149,0.126,0.140,0.173,0.136,0.106,0.056,0.047,0.067,0.066,0.297,0.289,0.227,0.121,0.862,0.031,0.000,0.054,0.000,0.028,0.025,0.104,0.272,0.728,0.123,0.209,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),22: 9pm (9pm-10pm),15,0.114,0.083,0.125,0.161,0.103,0.048,0.059,0.088,0.219,0.030,0.131,0.209,0.283,0.347,0.906,0.045,0.000,0.034,0.000,0.010,0.005,0.022,0.363,0.637,0.257,0.121,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,7: Sunday (Su-Su),23: 10pm (10pm-11pm),5,0.102,0.122,0.203,0.229,0.106,0.088,0.055,0.075,0.020,0.146,0.344,0.242,0.200,0.068,0.968,0.008,0.000,0.011,0.000,0.001,0.012,0.012,0.426,0.574,0.199,0.317,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),00: All Day (12am-12am),3088,0.128,0.119,0.115,0.173,0.136,0.100,0.066,0.075,0.088,0.083,0.251,0.249,0.243,0.174,0.857,0.044,0.003,0.059,0.000,0.018,0.019,0.058,0.345,0.655,0.137,0.272,0.001,0.130,0.869
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),01: 12am (12am-1am),0,0.110,0.065,0.169,0.166,0.150,0.120,0.078,0.106,0.036,0.052,0.299,0.286,0.265,0.098,0.930,0.007,0.000,0.009,0.000,0.003,0.051,0.031,0.285,0.715,0.084,0.269,N/A,N/A,N/A
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),04: 3am (3am-4am),0,0.232,0.175,0.200,0.242,0.097,0.048,0.006,0.000,0.000,0.181,0.428,0.309,0.066,0.016,0.733,0.221,0.006,0.014,0.006,0.001,0.019,0.036,0.455,0.545,0.185,0.369,N/A,N/A,N/A
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),05: 4am (4am-5am),16,0.132,0.126,0.119,0.165,0.160,0.098,0.063,0.075,0.062,0.086,0.288,0.228,0.218,0.180,0.879,0.033,0.002,0.053,0.000,0.009,0.024,0.046,0.315,0.685,0.134,0.244,0.000,0.278,0.722
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),06: 5am (5am-6am),169,0.138,0.113,0.114,0.167,0.136,0.098,0.070,0.079,0.085,0.085,0.251,0.248,0.240,0.176,0.862,0.041,0.002,0.061,0.000,0.015,0.019,0.052,0.345,0.655,0.137,0.271,0.002,0.257,0.741
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),07: 6am (6am-7am),127,0.115,0.107,0.108,0.166,0.137,0.106,0.067,0.086,0.108,0.072,0.231,0.237,0.260,0.200,0.865,0.040,0.002,0.061,0.000,0.014,0.018,0.052,0.350,0.650,0.138,0.278,0.000,0.173,0.827
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),08: 7am (7am-8am),84,0.125,0.114,0.104,0.170,0.139,0.102,0.070,0.089,0.087,0.079,0.242,0.241,0.256,0.182,0.822,0.062,0.002,0.073,0.001,0.020,0.020,0.060,0.338,0.662,0.132,0.269,0.000,0.164,0.836
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),09: 8am (8am-9am),80,0.123,0.122,0.118,0.163,0.144,0.100,0.074,0.080,0.076,0.080,0.248,0.252,0.247,0.173,0.839,0.057,0.004,0.058,0.000,0.023,0.019,0.062,0.370,0.630,0.154,0.289,0.000,0.054,0.946
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),10: 9am (9am-10am),153,0.119,0.122,0.112,0.181,0.133,0.097,0.074,0.075,0.087,0.081,0.250,0.252,0.241,0.176,0.861,0.040,0.004,0.061,0.000,0.015,0.019,0.056,0.344,0.656,0.135,0.273,0.000,0.050,0.950
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),11: 10am (10am-11am),239,0.127,0.117,0.120,0.175,0.138,0.100,0.065,0.071,0.087,0.088,0.256,0.256,0.232,0.168,0.870,0.041,0.003,0.049,0.000,0.018,0.019,0.059,0.342,0.658,0.133,0.272,0.000,0.058,0.942
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),12: 11am (11am-12noon),244,0.126,0.120,0.117,0.175,0.137,0.098,0.064,0.073,0.090,0.082,0.250,0.250,0.246,0.172,0.876,0.032,0.003,0.055,0.001,0.015,0.018,0.055,0.341,0.659,0.137,0.269,0.000,0.040,0.960
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),13: 12pm (12noon-1pm),265,0.125,0.124,0.118,0.178,0.132,0.099,0.065,0.074,0.085,0.081,0.258,0.250,0.240,0.171,0.861,0.041,0.004,0.058,0.001,0.017,0.018,0.056,0.336,0.664,0.135,0.263,0.002,0.046,0.952
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),14: 1pm (1pm-2pm),269,0.137,0.124,0.114,0.181,0.135,0.096,0.062,0.072,0.079,0.089,0.264,0.248,0.232,0.167,0.865,0.040,0.004,0.056,0.000,0.016,0.019,0.055,0.331,0.669,0.132,0.260,0.000,0.064,0.936
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),15: 2pm (2pm-3pm),280,0.124,0.119,0.118,0.179,0.136,0.104,0.066,0.072,0.082,0.085,0.254,0.252,0.243,0.166,0.853,0.041,0.004,0.061,0.001,0.021,0.019,0.064,0.343,0.657,0.135,0.270,0.001,0.086,0.913
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),16: 3pm (3pm-4pm),276,0.141,0.131,0.117,0.175,0.130,0.096,0.058,0.070,0.082,0.091,0.268,0.247,0.234,0.160,0.868,0.044,0.003,0.051,0.000,0.016,0.018,0.054,0.339,0.661,0.134,0.269,0.002,0.119,0.879
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),17: 4pm (4pm-5pm),226,0.128,0.116,0.112,0.170,0.136,0.101,0.066,0.075,0.096,0.078,0.250,0.250,0.242,0.180,0.863,0.047,0.005,0.050,0.000,0.016,0.019,0.053,0.358,0.642,0.140,0.284,0.002,0.145,0.853
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),18: 5pm (5pm-6pm),178,0.119,0.112,0.111,0.168,0.134,0.107,0.067,0.077,0.105,0.080,0.230,0.248,0.262,0.180,0.858,0.039,0.003,0.059,0.000,0.020,0.021,0.063,0.366,0.634,0.151,0.287,0.000,0.129,0.871
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),19: 6pm (6pm-7pm),173,0.128,0.119,0.117,0.181,0.133,0.101,0.061,0.074,0.086,0.085,0.239,0.245,0.243,0.188,0.827,0.061,0.003,0.063,0.000,0.024,0.022,0.075,0.327,0.673,0.129,0.259,0.002,0.167,0.831
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),20: 7pm (7pm-8pm),137,0.129,0.113,0.109,0.169,0.142,0.102,0.071,0.073,0.092,0.085,0.253,0.246,0.246,0.170,0.837,0.042,0.003,0.078,0.000,0.020,0.020,0.063,0.361,0.639,0.142,0.285,0.000,0.251,0.749
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),21: 8pm (8pm-9pm),136,0.124,0.111,0.112,0.161,0.138,0.104,0.069,0.084,0.097,0.079,0.248,0.249,0.250,0.174,0.826,0.057,0.002,0.076,0.000,0.020,0.019,0.062,0.363,0.637,0.140,0.289,0.000,0.368,0.632
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),22: 9pm (9pm-10pm),18,0.119,0.122,0.122,0.178,0.132,0.116,0.063,0.070,0.078,0.089,0.288,0.260,0.209,0.154,0.897,0.030,0.003,0.039,0.000,0.014,0.017,0.045,0.339,0.661,0.127,0.273,0.000,0.529,0.471
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),23: 10pm (10pm-11pm),14,0.092,0.097,0.123,0.165,0.151,0.103,0.078,0.098,0.093,0.060,0.200,0.238,0.277,0.225,0.821,0.059,0.002,0.094,0.000,0.011,0.013,0.041,0.329,0.671,0.139,0.254,0.000,0.383,0.617
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,0: All Days (M-Su),24: 11pm (11pm-12am),2,0.099,0.111,0.106,0.119,0.122,0.097,0.058,0.122,0.166,0.079,0.186,0.164,0.306,0.265,0.896,0.009,0.000,0.069,0.000,0.016,0.010,0.037,0.311,0.689,0.104,0.260,0.000,0.526,0.474
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,1: Monday (M-M),00: All Day (12am-12am),3145,0.124,0.117,0.112,0.172,0.136,0.102,0.068,0.079,0.090,0.078,0.250,0.248,0.245,0.179,0.868,0.037,0.003,0.058,0.000,0.016,0.018,0.053,0.351,0.649,0.140,0.276,0.001,0.144,0.855
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,1: Monday (M-M),04: 3am (3am-4am),2,0.232,0.175,0.200,0.242,0.097,0.048,0.006,0.000,0.000,0.181,0.428,0.309,0.066,0.016,0.733,0.221,0.006,0.014,0.006,0.001,0.019,0.036,0.455,0.545,0.185,0.369,0.000,0.000,1.000
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,1: Monday (M-M),05: 4am (4am-5am),19,0.155,0.088,0.101,0.136,0.153,0.078,0.121,0.108,0.060,0.077,0.194,0.228,0.201,0.300,0.879,0.055,0.002,0.045,0.000,0.005,0.014,0.038,0.312,0.688,0.148,0.213,0.000,0.375,0.625
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,1: Monday (M-M),06: 5am (5am-6am),192,0.140,0.110,0.109,0.163,0.119,0.089,0.088,0.099,0.083,0.087,0.234,0.236,0.250,0.193,0.821,0.059,0.004,0.067,0.000,0.025,0.024,0.071,0.354,0.646,0.146,0.280,0.000,0.250,0.750
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,1: Monday (M-M),07: 6am (6am-7am),153,0.128,0.115,0.117,0.169,0.143,0.097,0.064,0.076,0.091,0.071,0.250,0.251,0.241,0.187,0.870,0.030,0.002,0.068,0.000,0.013,0.017,0.043,0.385,0.615,0.154,0.305,0.000,0.246,0.754
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,1: Monday (M-M),08: 7am (7am-8am),129,0.112,0.103,0.112,0.176,0.137,0.102,0.064,0.090,0.104,0.073,0.262,0.257,0.252,0.156,0.871,0.040,0.003,0.053,0.000,0.018,0.015,0.051,0.368,0.632,0.129,0.305,0.000,0.077,0.923
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,1: Monday (M-M),09: 8am (8am-9am),95,0.095,0.129,0.093,0.157,0.171,0.098,0.091,0.089,0.077,0.077,0.257,0.270,0.246,0.150,0.874,0.040,0.002,0.035,0.000,0.029,0.020,0.064,0.439,0.561,0.188,0.364,0.000,0.013,0.987
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,1: Monday (M-M),10: 9am (9am-10am),156,0.115,0.129,0.108,0.170,0.121,0.100,0.067,0.079,0.111,0.091,0.232,0.253,0.248,0.176,0.804,0.030,0.005,0.117,0.000,0.021,0.023,0.061,0.303,0.697,0.111,0.242,0.000,0.054,0.946
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Top of the Mountain,yes,30,no,1: Monday (M-M),11: 10am (10am-11am),247,0.111,0.105,0.119,0.168,0.143,0.099,0.067,0.082,0.106,0.071,0.239,0.250,0.246,0.194,0.887,0.026,0.003,0.053,0.001,0.010,0.020,0.052,0.364,0.636,0.132,0.292,0.000,0.063,0.937
