Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),12: 11am (11am-12noon),362,0.138,0.125,0.112,0.177,0.133,0.101,0.065,0.071,0.078,0.087,0.257,0.253,0.241,0.162,0.854,0.045,0.006,0.062,0.000,0.016,0.017,0.053,0.338,0.662,0.151,0.253,0.000,0.116,0.884
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),13: 12pm (12noon-1pm),325,0.127,0.116,0.109,0.182,0.133,0.100,0.067,0.079,0.087,0.083,0.261,0.258,0.231,0.167,0.862,0.035,0.003,0.061,0.001,0.018,0.020,0.057,0.345,0.655,0.139,0.274,0.000,0.066,0.934
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),14: 1pm (1pm-2pm),386,0.137,0.116,0.119,0.179,0.125,0.103,0.063,0.080,0.078,0.107,0.268,0.237,0.233,0.155,0.851,0.036,0.004,0.068,0.000,0.022,0.019,0.075,0.347,0.653,0.148,0.273,0.000,0.032,0.968
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),15: 2pm (2pm-3pm),322,0.134,0.113,0.113,0.179,0.128,0.101,0.070,0.075,0.087,0.091,0.257,0.250,0.239,0.163,0.831,0.058,0.004,0.068,0.000,0.019,0.020,0.056,0.359,0.641,0.138,0.286,0.000,0.085,0.915
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),16: 3pm (3pm-4pm),230,0.125,0.132,0.108,0.168,0.144,0.105,0.063,0.060,0.095,0.078,0.260,0.255,0.242,0.165,0.881,0.046,0.003,0.037,0.000,0.016,0.017,0.058,0.357,0.643,0.147,0.275,0.000,0.110,0.890
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),17: 4pm (4pm-5pm),206,0.106,0.130,0.116,0.184,0.152,0.108,0.064,0.064,0.076,0.069,0.276,0.269,0.228,0.158,0.897,0.030,0.002,0.047,0.000,0.008,0.016,0.033,0.329,0.671,0.128,0.257,0.000,0.081,0.919
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),18: 5pm (5pm-6pm),225,0.140,0.126,0.103,0.161,0.123,0.109,0.071,0.071,0.096,0.083,0.269,0.246,0.241,0.161,0.843,0.029,0.003,0.077,0.000,0.030,0.018,0.078,0.330,0.670,0.133,0.266,0.000,0.244,0.756
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),19: 6pm (6pm-7pm),214,0.139,0.107,0.114,0.178,0.131,0.100,0.071,0.073,0.087,0.077,0.257,0.252,0.233,0.181,0.899,0.027,0.001,0.045,0.000,0.010,0.018,0.037,0.313,0.687,0.119,0.251,0.000,0.266,0.734
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),20: 7pm (7pm-8pm),91,0.111,0.114,0.127,0.155,0.139,0.111,0.066,0.077,0.100,0.071,0.239,0.222,0.253,0.215,0.870,0.023,0.003,0.074,0.000,0.013,0.017,0.030,0.383,0.617,0.156,0.307,0.000,0.168,0.832
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,,Bottom of Mountain,yes,73,no,1: Monday (M-M),21: 8pm (8pm-9pm),9,0.071,0.179,0.208,0.120,0.112,0.127,0.036,0.062,0.085,0.072,0.335,0.255,0.212,0.126,0.953,0.015,0.000,0.006,0.000,0.004,0.022,0.050,0.504,0.496,0.057,0.465,0.000,0.000,1.000
