Mode of Travel,Intersection Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi)
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 2,yes,2,yes,0: All Days (M-Su),1: Early AM (12am-6am),147,2372,2392,14.4,14.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 2,yes,2,yes,0: All Days (M-Su),2: Peak AM (6am-10am),167,3092,3174,17.7,18.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 2,yes,2,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),774,3067,3139,16.3,16.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 2,yes,2,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),322,2781,2844,13.8,13.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 2,yes,2,yes,0: All Days (M-Su),5: Late PM (7pm-12am),97,2745,2828,13.9,14.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 2,yes,2,yes,1: Weekday (M-Th),0: All Day (12am-12am),1282,2707,2786,13.5,13.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 2,yes,2,yes,1: Weekday (M-Th),1: Early AM (12am-6am),130,2216,2248,12.9,13.2
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 2,yes,2,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),179,3031,3160,16.9,17.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 2,yes,2,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),626,2980,3033,14.5,14.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 2,yes,2,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),253,2621,2717,12.4,12.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 2,yes,2,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),94,2541,2665,11.6,12.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 2,yes,2,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1967,3059,3108,17.7,17.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 2,yes,2,yes,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),188,2670,2675,17.7,17.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 2,yes,2,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),169,3148,3200,18.3,18.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 2,yes,2,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),1088,3226,3305,18.6,18.8
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 2,yes,2,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),419,3014,3038,16.7,16.4
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 2,yes,2,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),104,3122,3127,16.5,16.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 3,yes,239,yes,0: All Days (M-Su),0: All Day (12am-12am),2055,2831,2922,15.7,16.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 3,yes,239,yes,0: All Days (M-Su),1: Early AM (12am-6am),144,2381,2419,13.6,13.9
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 3,yes,239,yes,0: All Days (M-Su),2: Peak AM (6am-10am),251,2688,2792,14.2,14.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 3,yes,239,yes,0: All Days (M-Su),3: Mid-Day (10am-3pm),992,2946,3037,15.9,16.3
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 3,yes,239,yes,0: All Days (M-Su),4: Peak PM (3pm-7pm),519,2932,3034,17.1,17.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 3,yes,239,yes,0: All Days (M-Su),5: Late PM (7pm-12am),149,2817,2881,15.5,15.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 3,yes,239,yes,1: Weekday (M-Th),0: All Day (12am-12am),1818,2691,2793,14.1,14.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 3,yes,239,yes,1: Weekday (M-Th),1: Early AM (12am-6am),123,2210,2259,11.6,12.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 3,yes,239,yes,1: Weekday (M-Th),2: Peak AM (6am-10am),252,2630,2771,13.4,14.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 3,yes,239,yes,1: Weekday (M-Th),3: Mid-Day (10am-3pm),875,2797,2890,14.2,14.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 3,yes,239,yes,1: Weekday (M-Th),4: Peak PM (3pm-7pm),428,2770,2890,15.5,16.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 3,yes,239,yes,1: Weekday (M-Th),5: Late PM (7pm-12am),140,2705,2781,13.8,14.1
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 3,yes,239,yes,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2622,3061,3135,18.3,18.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 3,yes,239,yes,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),194,2624,2648,17.0,17.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 3,yes,239,yes,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),289,2842,2908,16.7,16.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 3,yes,239,yes,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),1333,3243,3325,18.7,19.0
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 3,yes,239,yes,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),643,3130,3217,19.4,19.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 3,yes,239,yes,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),163,2985,3018,17.6,17.6
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 4,yes,253,yes,0: All Days (M-Su),0: All Day (12am-12am),1638,2848,2947,16.4,16.7
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 4,yes,253,yes,0: All Days (M-Su),1: Early AM (12am-6am),88,2413,2458,14.3,14.5
All Vehicles - StL All Vehicles Volume,Trip Pass-Through,N/A,Cadillac Summit Road / 128570329 / 4,yes,253,yes,0: All Days (M-Su),2: Peak AM (6am-10am),182,2654,2758,14.0,14.3
