,Month,Year,Avg Trip Time (min),Average of temp,Average of feels_like,Average of temp_min,Average of temp_max,Average of pressure,Average of humidity,Sum of rain_1h,Average of wind_speed,Average of wind_gust,is_summer,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
15,7.0,19.0,20.5344444442,67.72306666666667,67.80688888888888,62.553999999999995,73.0654888888889,1012.0533333333333,73.41333333333334,0.7779999999999999,4.341977777777777,6.636388888888888,1,1,0,0,0,0,0,0
16,7.0,19.0,22.386904762142855,67.9822619047619,68.29430952380953,62.76680952380951,73.98678571428572,1012.9142857142857,77.44761904761903,0.2942857142857143,4.210333333333333,6.845654761904762,1,0,1,0,0,0,0,0
17,7.0,19.0,21.27435897538462,66.09961538461538,65.72115384615384,61.075384615384614,71.05173076923077,1016.7884615384615,70.98076923076923,0.0,4.103076923076923,5.988333333333333,1,0,0,1,0,0,0,0
18,7.0,19.0,18.003030302363637,70.83749999999999,71.68409090909091,65.22954545454546,76.5540909090909,1013.1363636363636,79.27272727272727,0.0,5.049318181818181,6.786363636363637,1,0,0,0,0,1,0,0
19,7.0,19.0,22.370833333583334,68.98249999999999,69.38187500000001,64.77033333333333,73.63304166666667,1010.7166666666667,77.45,0.17833333333333334,6.040166666666667,9.447652777777778,1,0,0,0,0,0,1,0
20,7.0,19.0,20.110256409461535,66.31373076923077,66.26523076923078,61.22680769230769,72.11746153846154,1015.5307692307692,75.98076923076924,1.0815384615384618,4.775538461538462,10.01776923076923,1,0,0,0,1,0,0,0
21,8.0,19.0,22.208974359769226,65.4125,64.98346153846154,60.96,70.08115384615385,1016.0576923076923,70.73076923076923,0.46384615384615385,5.985961538461538,0.0,1,0,0,0,0,0,0,1
22,8.0,19.0,27.477777776866667,65.50183333333332,65.47283333333333,61.37916666666667,70.00150000000002,1014.0666666666667,78.91666666666667,0.0,5.348666666666667,0.0,1,1,0,0,0,0,0,0
23,8.0,19.0,26.380303029727273,64.2425,64.22113636363638,60.01204545454545,68.33045454545453,1013.9545454545455,82.0,0.0,4.099090909090909,0.1590909090909091,1,0,1,0,0,0,0,0
24,8.0,19.0,28.0614583329375,66.96800595238095,67.37247619047619,63.19453273809523,70.61617261904763,1011.1020833333333,85.08244047619048,3.6000000000000005,6.5884375,1.16471875,1,0,0,1,0,0,0,0
25,8.0,19.0,32.87555555533333,64.17819999999999,63.845177777777785,60.59857777777778,68.17871111111111,1015.7933333333333,75.50222222222222,0.09666666666666666,7.0582222222222235,4.185144444444445,1,0,0,0,0,1,0,0
26,8.0,19.0,20.563888888916665,62.540708333333335,62.192249999999994,59.499791666666674,66.44116666666667,1016.7208333333333,78.16250000000001,1.2866666666666666,6.160291666666666,7.83361111111111,1,0,0,0,0,0,1,0
27,8.0,19.0,20.190000000666668,65.87453333333333,65.83402222222223,61.78731111111111,70.02099999999999,1012.8800000000002,77.87111111111112,0.06733333333333333,5.565422222222221,2.0145,1,0,0,0,1,0,0,0
28,9.0,19.0,15.22727272690909,55.72654545454545,54.26909090909091,51.83854545454545,59.74799999999998,1019.7454545454548,78.05454545454546,0.0,8.078727272727274,0.0,0,0,0,0,0,0,0,1
29,9.0,19.0,22.252083332875003,60.7696875,60.2965625,57.8978125,63.8521875,1016.875,79.71875,0.0,4.6937500000000005,0.0,0,1,0,0,0,0,0,0
30,9.0,19.0,13.818333331899998,56.7712,56.14119999999999,54.131949999999996,59.574799999999996,1017.1899999999999,84.28999999999999,0.641,10.151200000000001,0.0,0,0,1,0,0,0,0,0
31,9.0,19.0,24.08846153823077,56.78461538461538,55.73480769230769,53.277884615384615,60.49653846153845,1018.1346153846154,75.36538461538461,0.0,6.101538461538461,0.0,0,0,0,1,0,0,0,0
32,9.0,19.0,19.40909091,56.58600000000001,55.75995454545454,52.647999999999996,60.01168181818182,1018.7454545454547,81.20454545454545,3.159090909090909,7.762318181818182,0.0,0,0,0,0,0,1,0,0
33,9.0,19.0,20.876190474999998,60.06371428571428,59.22857142857141,56.690714285714286,63.57600000000001,1019.6428571428571,76.15714285714286,0.0,7.448714285714287,0.0,0,0,0,0,0,0,1,0
34,9.0,19.0,17.553333333,57.426,56.2435,53.46775,61.505250000000004,1021.85,69.6,0.0,6.51225,0.0,0,0,0,0,1,0,0,0
35,10.0,19.0,11.925,50.53895833333333,49.45995833333334,47.4491875,53.634166666666665,1019.3000000000001,86.89375,0.8437500000000001,7.338125,0.0,0,0,0,0,0,0,0,1
36,10.0,19.0,22.15303030336364,50.47078787878788,49.25775757575759,48.1040606060606,53.07454545454546,1022.2333333333335,78.41818181818182,0.3181818181818182,5.5578787878787885,0.0,0,1,0,0,0,0,0,0
37,10.0,19.0,15.433333333750001,52.10272619047619,51.26775000000001,49.498910714285714,55.05517261904762,1017.4291666666667,83.34285714285716,7.554999999999999,6.621053571428572,0.0,0,0,1,0,0,0,0,0
38,10.0,19.0,19.283333332700003,51.16173809523809,49.12547619047619,48.39083333333333,53.97535714285715,1012.1261904761905,79.07380952380953,11.165,11.768761904761906,0.0,0,0,0,1,0,0,0,0
39,10.0,19.0,17.853703703222223,45.848,42.20255555555556,43.59122222222223,48.19655555555556,1019.0166666666667,77.96111111111111,0.5255555555555556,8.507111111111112,0.4475,0,0,0,0,0,1,0,0
40,10.0,19.0,16.41818181790909,46.329772727272726,44.23931818181819,41.8875,50.438636363636355,1022.4090909090909,74.31818181818181,0.014545454545454545,5.480454545454545,0.0,0,0,0,0,0,0,1,0
41,10.0,19.0,14.594999999700002,47.58685,44.16709999999999,45.3667,50.1043,1015.5899999999999,72.455,0.305,8.813550000000001,0.0,0,0,0,0,1,0,0,0
42,5.0,20.0,20.68333333,55.50833333333333,52.156666666666666,52.02,59.47666666666667,1013.0,63.5,2.04,10.328333333333337,0.0,0,0,0,0,1,0,0,0
43,6.0,20.0,9.283333333,60.906666666666666,59.97666666666667,57.38,65.72833333333334,1016.8333333333334,69.66666666666667,11.18,4.84,0.0,1,0,0,0,0,0,0,1
44,6.0,20.0,20.289583332875,62.180875,61.24637499999999,57.846458333333324,66.34516666666667,1015.9291666666666,68.52916666666667,0.22875000000000004,6.279874999999999,0.0,1,1,0,0,0,0,0,0
45,6.0,20.0,15.61666667,61.7725,60.895,55.3375,67.44,1014.25,69.0,0.0,5.005,0.0,1,0,1,0,0,0,0,0
46,6.0,20.0,14.2083333315,60.87083333333333,60.49100000000001,56.91133333333334,65.30841666666667,1014.7416666666667,81.36666666666666,9.72,9.395833333333334,0.0,1,0,0,1,0,0,0,0
47,6.0,20.0,32.93888888888889,63.48338888888889,63.27461111111111,58.74272222222222,69.02561111111112,1011.9666666666667,78.92777777777778,0.5900000000000001,4.738666666666667,0.0,1,0,0,0,0,1,0,0
48,6.0,20.0,19.354166667125,59.30093750000001,58.7140625,55.12925,65.9565625,1016.1125,80.475,0.02625,6.298,0.0,1,0,0,0,0,0,1,0
49,6.0,20.0,34.34722222283333,67.44250000000001,67.45125,61.333333333333336,73.55375,1013.5416666666666,75.70833333333333,0.0,6.73125,0.0,1,0,0,0,1,0,0,0
50,7.0,20.0,20.687179486923075,70.2528076923077,71.31953846153846,65.49038461538461,76.2566153846154,1009.2692307692307,81.5076923076923,0.19230769230769232,6.080499999999999,0.0,1,0,0,0,0,0,0,1
51,7.0,20.0,16.393939393636362,70.73545454545456,71.76159090909091,66.90431818181817,74.93204545454545,1013.1590909090909,77.93181818181819,0.0,5.917045454545455,0.0,1,1,0,0,0,0,0,0
52,7.0,20.0,20.143589743769233,66.27687179487181,66.34553846153848,62.381692307692305,70.50197435897437,1015.9589743589743,79.22051282051282,0.3438461538461539,5.525102564102564,0.0,1,0,1,0,0,0,0,0
53,7.0,20.0,22.83181818090909,64.99933333333334,65.24124242424243,60.85342424242424,70.53112121212122,1015.3303030303031,84.86969696969696,0.3781818181818182,4.85430303030303,0.0,1,0,0,1,0,0,0,0
54,7.0,20.0,23.266666666222218,63.50305555555556,63.75538888888889,59.76538888888889,68.5035,1015.1555555555556,88.94999999999999,0.9655555555555555,5.279166666666666,0.0,1,0,0,0,0,1,0,0
55,7.0,20.0,14.49743589792308,66.54115384615385,66.80903846153845,62.62615384615385,71.41442307692307,1010.25,83.86538461538461,0.3692307692307692,7.528269230769231,0.0,1,0,0,0,0,0,1,0
56,7.0,20.0,19.997222223083334,65.71783333333335,65.85122222222223,61.969388888888886,69.35925,1016.0249999999997,81.96666666666667,0.2575,5.487277777777777,0.0,1,0,0,0,1,0,0,0
57,8.0,20.0,16.81025641076923,66.82407692307692,66.95823076923077,62.72017948717948,70.85738461538463,1014.3923076923077,78.45897435897437,0.3707692307692308,7.416307692307693,0.0,1,0,0,0,0,0,0,1
58,8.0,20.0,26.95769230846154,67.17357692307692,67.59934615384616,62.8813076923077,71.59080769230769,1011.8115384615384,84.74615384615385,0.7007692307692307,4.727653846153846,0.0,1,1,0,0,0,0,0,0
59,8.0,20.0,27.70595238192857,67.51625,67.64875,63.92375,71.23964285714285,1011.0,75.17857142857143,0.03571428571428571,10.103571428571428,0.0,1,0,1,0,0,0,0,0
60,8.0,20.0,22.897777776866672,66.39466666666665,65.74333333333334,62.629999999999995,70.18033333333334,1013.6833333333333,63.25,0.0,8.94566666666667,0.0,1,0,0,1,0,0,0,0
