,Day Type,Day Part,Avg Trip Time (min),Month,Year,Month.1,Day,Time,Check_Flag,Average of temp,Average of feels_like,Average of temp_min,Average of temp_max,Average of pressure,Average of humidity,Sum of rain_1h,Average of wind_speed,Average of wind_gust
54,6: Saturday (Sa-Sa),12: 11am (11am-12noon),12.33333333,May,19.0,5.0,6.0,11.0,195611,46.6325,43.0625,44.2275,48.972500000000004,1012.75,87.5,0.0,8.254999999999999,11.0
55,6: Saturday (Sa-Sa),13: 12pm (12noon-1pm),18.06666667,May,19.0,5.0,6.0,12.0,195612,49.955,48.447500000000005,47.39,53.0275,1013.5,84.5,0.0,7.75,11.0
56,6: Saturday (Sa-Sa),14: 1pm (1pm-2pm),42.98333333,May,19.0,5.0,6.0,13.0,195613,51.887499999999996,50.9175,49.1775,55.17750000000001,1013.75,81.0,0.0,8.5,15.993333333333334
57,6: Saturday (Sa-Sa),16: 3pm (3pm-4pm),13.36666667,May,19.0,5.0,6.0,15.0,195615,55.6525,54.0325,52.125,58.91,1014.25,65.25,0.0,9.25,13.75
58,6: Saturday (Sa-Sa),17: 4pm (4pm-5pm),10.03333333,May,19.0,5.0,6.0,16.0,195616,56.675,54.932500000000005,52.35,60.6925,1014.5,61.5,0.0,9.590000000000002,15.4275
59,6: Saturday (Sa-Sa),19: 6pm (6pm-7pm),4.2,May,19.0,5.0,6.0,18.0,195618,58.655,56.745,54.065000000000005,64.575,1014.0,53.75,0.0,10.250000000000002,15.5025
60,6: Saturday (Sa-Sa),06: 5am (5am-6am),2.266666667,May,19.0,5.0,6.0,5.0,19565,43.34,41.924,41.552,45.629999999999995,1013.0,90.4,2.29,2.998,5.745000000000001
61,7: Sunday (Su-Su),00: All Day (12am-12am),21.16666667,May,19.0,5.0,7.0,-1.0,1957-1,49.34888889,46.87909091,45.47989899,53.45252525,1014.868687,71.16161616,14.72,5.846060606,10.03753086
62,7: Sunday (Su-Su),14: 1pm (1pm-2pm),6.833333333,May,19.0,5.0,7.0,13.0,195713,50.0325,48.580000000000005,47.379999999999995,52.96,1015.25,72.25,0.51,5.0,7.754999999999999
63,7: Sunday (Su-Su),15: 2pm (2pm-3pm),25.5,May,19.0,5.0,7.0,14.0,195714,52.2675,51.1175,49.04,56.09,1015.25,68.5,0.0,3.5025,5.75
64,7: Sunday (Su-Su),16: 3pm (3pm-4pm),8.4,May,19.0,5.0,7.0,15.0,195715,53.265,51.9,49.467499999999994,57.504999999999995,1015.25,66.75,0.14,5.0,7.75
65,7: Sunday (Su-Su),20: 7pm (7pm-8pm),8.116666667,May,19.0,5.0,7.0,19.0,195719,55.965,53.565,49.987500000000004,61.7175,1013.75,60.0,0.25,5.9975000000000005,9.495000000000001
66,7: Sunday (Su-Su),21: 8pm (8pm-9pm),17.55,May,19.0,5.0,7.0,20.0,195720,54.88249999999999,52.75,47.96000000000001,62.5,1013.25,65.0,0.25,6.0,8.9925
