Mode of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-D Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),00: All Day (12am-12am),1236,0.143,0.135,0.140,0.172,0.123,0.101,0.057,0.063,0.066,0.096,0.307,0.260,0.201,0.136,0.861,0.043,0.004,0.048,0.000,0.025,0.019,0.056,0.322,0.678,0.128,0.246,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),05: 4am (4am-5am),26,0.181,0.147,0.183,0.141,0.100,0.101,0.051,0.066,0.030,0.097,0.303,0.298,0.206,0.096,0.822,0.026,0.004,0.095,0.000,0.031,0.022,0.056,0.417,0.583,0.141,0.311,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),06: 5am (5am-6am),20,0.062,0.028,0.036,0.173,0.130,0.168,0.068,0.133,0.202,0.036,0.196,0.248,0.236,0.284,0.979,0.001,0.004,0.009,0.000,0.001,0.006,0.038,0.283,0.717,0.171,0.121,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),07: 6am (6am-7am),100,0.113,0.180,0.125,0.192,0.126,0.124,0.062,0.058,0.020,0.061,0.308,0.255,0.244,0.132,0.870,0.028,0.005,0.047,0.000,0.023,0.027,0.070,0.353,0.647,0.174,0.237,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),09: 8am (8am-9am),60,0.071,0.100,0.122,0.195,0.142,0.142,0.114,0.058,0.056,0.063,0.245,0.245,0.275,0.172,0.966,0.006,0.000,0.018,0.000,0.004,0.006,0.018,0.319,0.681,0.121,0.246,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),10: 9am (9am-10am),35,0.086,0.084,0.101,0.191,0.098,0.109,0.075,0.114,0.142,0.073,0.235,0.204,0.308,0.180,0.593,0.016,0.000,0.355,0.000,0.001,0.035,0.018,0.368,0.632,0.163,0.259,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),11: 10am (10am-11am),86,0.141,0.078,0.108,0.191,0.113,0.109,0.083,0.087,0.090,0.071,0.290,0.237,0.255,0.147,0.874,0.013,0.000,0.091,0.000,0.003,0.019,0.008,0.424,0.576,0.126,0.357,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),12: 11am (11am-12noon),169,0.212,0.171,0.188,0.179,0.119,0.081,0.030,0.010,0.010,0.152,0.347,0.268,0.180,0.053,0.857,0.034,0.006,0.021,0.001,0.056,0.025,0.091,0.234,0.766,0.100,0.173,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),13: 12pm (12noon-1pm),134,0.117,0.116,0.147,0.169,0.135,0.098,0.049,0.084,0.085,0.115,0.305,0.237,0.211,0.132,0.878,0.026,0.000,0.065,0.000,0.011,0.020,0.046,0.351,0.649,0.132,0.266,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,1: Monday (M-M),14: 1pm (1pm-2pm),82,0.168,0.174,0.142,0.198,0.135,0.081,0.026,0.033,0.043,0.157,0.318,0.282,0.146,0.097,0.804,0.091,0.002,0.033,0.000,0.058,0.012,0.108,0.365,0.635,0.157,0.293,0.000,0.000,1.000
