Mode of Travel,Origin Zone ID,Origin Zone Name,Origin Zone Is Pass-Through,Origin Zone Direction (degrees),Origin Zone is Bi-Direction,Destination Zone ID,Destination Zone Name,Destination Zone Is Pass-Through,Destination Zone Direction (degrees),Destination Zone is Bi-Direction,Day Type,Day Part,Average Daily O-D Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent),Purpose HBW (percent),Purpose HBO (percent),Purpose NHB (percent)
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),10: 9am (9am-10am),58,0.095,0.114,0.166,0.222,0.147,0.113,0.076,0.039,0.028,0.097,0.367,0.288,0.172,0.076,0.905,0.015,0.005,0.015,0.000,0.009,0.051,0.056,0.393,0.607,0.149,0.326,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),11: 10am (10am-11am),142,0.162,0.109,0.118,0.181,0.132,0.084,0.047,0.119,0.048,0.086,0.302,0.236,0.212,0.164,0.883,0.040,0.001,0.039,0.000,0.009,0.028,0.024,0.223,0.777,0.085,0.169,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),12: 11am (11am-12noon),164,0.137,0.125,0.134,0.199,0.129,0.077,0.073,0.076,0.050,0.078,0.240,0.236,0.271,0.175,0.831,0.038,0.005,0.080,0.000,0.024,0.022,0.055,0.304,0.696,0.134,0.238,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),13: 12pm (12noon-1pm),33,0.220,0.170,0.126,0.169,0.086,0.082,0.100,0.042,0.005,0.207,0.281,0.252,0.158,0.102,0.915,0.033,0.000,0.005,0.000,0.038,0.009,0.459,0.223,0.777,0.082,0.166,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),14: 1pm (1pm-2pm),153,0.121,0.160,0.141,0.223,0.127,0.096,0.058,0.056,0.018,0.106,0.326,0.284,0.189,0.095,0.769,0.088,0.001,0.046,0.001,0.052,0.043,0.121,0.358,0.642,0.139,0.284,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),15: 2pm (2pm-3pm),168,0.136,0.143,0.159,0.233,0.145,0.088,0.039,0.030,0.027,0.105,0.330,0.307,0.170,0.088,0.899,0.023,0.003,0.023,0.000,0.034,0.018,0.062,0.319,0.681,0.124,0.257,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),16: 3pm (3pm-4pm),137,0.183,0.173,0.142,0.227,0.119,0.080,0.031,0.025,0.020,0.060,0.298,0.279,0.209,0.154,0.883,0.024,0.005,0.062,0.000,0.010,0.016,0.022,0.284,0.716,0.085,0.228,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),17: 4pm (4pm-5pm),89,0.170,0.165,0.151,0.231,0.145,0.081,0.023,0.023,0.011,0.087,0.373,0.326,0.154,0.060,0.950,0.009,0.004,0.009,0.000,0.003,0.025,0.024,0.241,0.759,0.093,0.201,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),18: 5pm (5pm-6pm),102,0.117,0.096,0.082,0.161,0.165,0.095,0.075,0.102,0.107,0.062,0.201,0.235,0.249,0.253,0.691,0.026,0.002,0.235,0.001,0.014,0.031,0.042,0.321,0.679,0.160,0.211,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),20: 7pm (7pm-8pm),34,0.089,0.087,0.133,0.160,0.205,0.122,0.087,0.083,0.034,0.039,0.304,0.309,0.204,0.144,0.962,0.006,0.009,0.006,0.006,0.005,0.006,0.026,0.342,0.658,0.119,0.273,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,6: Saturday (Sa-Sa),22: 9pm (9pm-10pm),14,0.072,0.076,0.107,0.153,0.180,0.220,0.063,0.067,0.062,0.062,0.214,0.299,0.220,0.205,0.982,0.015,0.000,0.000,0.000,0.000,0.003,0.032,0.308,0.692,0.050,0.259,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),00: All Day (12am-12am),1412,0.144,0.134,0.127,0.182,0.132,0.101,0.062,0.059,0.059,0.082,0.290,0.256,0.224,0.148,0.892,0.026,0.003,0.048,0.001,0.013,0.017,0.058,0.290,0.710,0.112,0.229,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),04: 3am (3am-4am),21,0.181,0.105,0.131,0.336,0.064,0.094,0.040,0.031,0.018,0.063,0.265,0.317,0.133,0.222,0.914,0.010,0.016,0.046,0.001,0.000,0.013,0.002,0.213,0.787,0.071,0.175,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),05: 4am (4am-5am),26,0.321,0.116,0.086,0.135,0.137,0.089,0.067,0.047,0.002,0.110,0.223,0.168,0.271,0.228,0.974,0.006,0.000,0.010,0.000,0.006,0.004,0.008,0.174,0.826,0.065,0.153,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),06: 5am (5am-6am),81,0.139,0.155,0.117,0.211,0.126,0.113,0.049,0.069,0.021,0.081,0.313,0.273,0.231,0.102,0.900,0.034,0.012,0.034,0.000,0.008,0.012,0.072,0.298,0.702,0.091,0.247,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),07: 6am (6am-7am),15,0.292,0.169,0.132,0.174,0.115,0.049,0.010,0.043,0.016,0.166,0.265,0.185,0.200,0.184,0.722,0.036,0.000,0.160,0.005,0.000,0.077,0.031,0.456,0.544,0.216,0.309,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),08: 7am (7am-8am),35,0.169,0.081,0.101,0.258,0.184,0.105,0.039,0.041,0.022,0.082,0.335,0.202,0.193,0.188,0.721,0.170,0.007,0.051,0.000,0.035,0.016,0.091,0.370,0.630,0.190,0.267,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),09: 8am (8am-9am),21,0.034,0.016,0.182,0.085,0.072,0.110,0.126,0.192,0.183,0.094,0.187,0.292,0.228,0.199,0.948,0.015,0.000,0.022,0.000,0.003,0.012,0.011,0.211,0.789,0.065,0.185,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),10: 9am (9am-10am),31,0.051,0.093,0.134,0.147,0.162,0.126,0.071,0.105,0.111,0.106,0.196,0.288,0.247,0.163,0.953,0.012,0.000,0.020,0.000,0.002,0.013,0.013,0.207,0.793,0.049,0.188,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),11: 10am (10am-11am),141,0.160,0.114,0.154,0.188,0.117,0.075,0.047,0.088,0.057,0.080,0.267,0.225,0.230,0.198,0.751,0.036,0.003,0.139,0.007,0.035,0.029,0.108,0.310,0.690,0.123,0.226,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),12: 11am (11am-12noon),223,0.127,0.155,0.114,0.200,0.138,0.089,0.073,0.042,0.062,0.065,0.314,0.282,0.216,0.123,0.952,0.021,0.002,0.008,0.001,0.004,0.012,0.056,0.320,0.680,0.117,0.280,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),13: 12pm (12noon-1pm),81,0.167,0.101,0.126,0.222,0.142,0.079,0.074,0.045,0.044,0.102,0.279,0.303,0.201,0.115,0.950,0.005,0.011,0.009,0.000,0.008,0.017,0.037,0.295,0.705,0.110,0.261,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),14: 1pm (1pm-2pm),152,0.152,0.133,0.138,0.212,0.129,0.096,0.038,0.046,0.056,0.092,0.274,0.234,0.238,0.162,0.812,0.055,0.004,0.086,0.001,0.021,0.021,0.062,0.237,0.763,0.101,0.183,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),15: 2pm (2pm-3pm),192,0.104,0.114,0.124,0.153,0.127,0.105,0.078,0.074,0.121,0.067,0.251,0.267,0.250,0.165,0.938,0.012,0.003,0.015,0.000,0.017,0.015,0.076,0.352,0.648,0.143,0.270,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),16: 3pm (3pm-4pm),127,0.171,0.215,0.124,0.139,0.120,0.079,0.075,0.036,0.041,0.077,0.339,0.294,0.183,0.107,0.927,0.013,0.002,0.033,0.000,0.012,0.013,0.083,0.265,0.735,0.083,0.212,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),17: 4pm (4pm-5pm),128,0.132,0.137,0.123,0.166,0.149,0.163,0.043,0.054,0.033,0.059,0.302,0.253,0.250,0.136,0.887,0.025,0.001,0.066,0.000,0.007,0.014,0.028,0.296,0.704,0.097,0.237,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),18: 5pm (5pm-6pm),21,0.100,0.082,0.134,0.237,0.210,0.134,0.049,0.001,0.053,0.032,0.358,0.232,0.263,0.115,0.999,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.176,0.824,0.081,0.111,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),19: 6pm (6pm-7pm),41,0.086,0.149,0.120,0.201,0.113,0.116,0.075,0.088,0.052,0.101,0.310,0.224,0.206,0.159,0.931,0.005,0.006,0.038,0.000,0.000,0.020,0.011,0.305,0.695,0.165,0.181,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),20: 7pm (7pm-8pm),41,0.184,0.145,0.136,0.186,0.118,0.063,0.063,0.068,0.037,0.119,0.394,0.222,0.160,0.105,0.952,0.002,0.000,0.029,0.001,0.001,0.015,0.009,0.311,0.689,0.161,0.185,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),21: 8pm (8pm-9pm),20,0.310,0.114,0.130,0.226,0.133,0.039,0.019,0.023,0.006,0.147,0.409,0.225,0.151,0.068,0.841,0.061,0.001,0.042,0.000,0.029,0.026,0.065,0.164,0.836,0.084,0.107,0.000,0.000,1.000
Pedestrian - StL Pedestrian Index,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,,Cadillac Summit and Trails Pedestrian Only,no,N/A,no,7: Sunday (Su-Su),22: 9pm (9pm-10pm),15,0.093,0.115,0.131,0.056,0.136,0.196,0.147,0.071,0.055,0.161,0.233,0.174,0.216,0.216,0.758,0.048,0.000,0.156,0.001,0.020,0.017,0.070,0.111,0.889,0.046,0.077,0.000,0.000,1.000
